"","parliament_number","session_number","chamber_number","committee_number","member_number","committee_name","committee_acronym","committee_ID","member_name","member_ID","constituency_name","constituency_ID","position","start_date","end_date","observation_mumber","parliament_path","chamber_path","committee_path","member_path","observation_path"
"1",38,1,1,1,1,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Jim Abbott","/chamber-1/member-1","Kootenay—Columbia","/chamber-1/constituency-195","Associate Member","2004-10-07","2005-11-29","1","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-1","/parliament-38/chamber-1/committee-1/member-1"
"2",38,1,1,1,2,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Diane Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","/chamber-1/constituency-76","Associate Member","2004-10-07","2005-11-29","2","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-2","/parliament-38/chamber-1/committee-1/member-2"
"3",38,1,1,3,5,"Agriculture and Agri-Food","AGRI","/chamber-1/committee-3","Peter Adams","/chamber-1/member-5","Peterborough","/chamber-1/constituency-306","Associate Member","2004-10-07","2005-11-29","3","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-3","/parliament-38/chamber-1/committee-3/member-5","/parliament-38/chamber-1/committee-3/member-5"
"4",38,1,1,1,17,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Dean Allison","/chamber-1/member-17","Niagara West","/chamber-1/constituency-272","Associate Member","2004-10-07","2005-11-29","4","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-17","/parliament-38/chamber-1/committee-1/member-17"
"5",38,1,1,1,19,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Associate Member","2004-10-07","2005-11-29","5","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-19","/parliament-38/chamber-1/committee-1/member-19"
"6",38,1,1,1,22,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Rob Anders","/chamber-1/member-22","Calgary West","/chamber-1/constituency-75","Associate Member","2004-10-07","2005-11-29","6","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-22","/parliament-38/chamber-1/committee-1/member-22"
"7",38,1,1,1,23,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","David Anderson","/chamber-1/member-23","Cypress Hills—Grasslands","/chamber-1/constituency-109","Associate Member","2004-10-07","2005-11-29","7","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-23","/parliament-38/chamber-1/committee-1/member-23"
"8",38,1,1,4,24,"Canadian Heritage","CHPC","/chamber-1/committee-4","Guy André","/chamber-1/member-24","Berthier—Maskinongé","/chamber-1/constituency-34","Associate Member","2004-10-07","2005-11-29","8","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-4","/parliament-38/chamber-1/committee-4/member-24","/parliament-38/chamber-1/committee-4/member-24"
"9",38,1,1,1,26,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Charlie Angus","/chamber-1/member-26","Timmins—James Bay","/chamber-1/constituency-409","Associate Member","2004-10-07","2005-11-29","9","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-26","/parliament-38/chamber-1/committee-1/member-26"
"10",38,1,1,1,35,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Gérard Asselin","/chamber-1/member-35","Manicouagan","/chamber-1/constituency-231","Associate Member","2004-10-07","2005-11-29","10","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-35","/parliament-38/chamber-1/committee-1/member-35"
"11",38,1,1,23,38,"Status of Women","FEWO","/chamber-1/committee-23","Jean Augustine","/chamber-1/member-38","Etobicoke—Lakeshore","/chamber-1/constituency-148","Associate Member","2005-02-08","2005-11-29","11","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-23","/parliament-38/chamber-1/committee-23/member-38","/parliament-38/chamber-1/committee-23/member-38"
"12",38,1,1,9,41,"Foreign Affairs and International Development","FAAE","/chamber-1/committee-9","Claude Bachand","/chamber-1/member-41","Saint-Jean","/chamber-1/constituency-353","Associate Member","2004-10-07","2005-11-29","12","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-9","/parliament-38/chamber-1/committee-9/member-41","/parliament-38/chamber-1/committee-9/member-41"
