"","parliament_number","session_number","chamber_number","committee_number","member_number","committee_name","committee_acronym","committee_ID","member_name","member_ID","constituency_name","constituency_ID","position","start_date","end_date","observation_mumber","parliament_path","chamber_path","committee_path","member_path","observation_path"
"1",38,1,1,5,2,"Citizenship and Immigration","CIMM","/chamber-1/committee-5","Diane Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","/chamber-1/constituency-76","Member","2004-10-07","2005-11-29","1","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-5","/parliament-38/chamber-1/committee-5/member-2","/parliament-38/chamber-1/committee-5/member-2"
"2",38,1,1,12,5,"Human Resources, Skills and Social Development and the Status of Persons with Disabilities","HUMA","/chamber-1/committee-12","Peter Adams","/chamber-1/member-5","Peterborough","/chamber-1/constituency-306","Member","2004-10-07","2005-11-29","2","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-12","/parliament-38/chamber-1/committee-12/member-5","/parliament-38/chamber-1/committee-12/member-5"
"3",38,1,1,21,17,"Public Accounts","PACP","/chamber-1/committee-21","Dean Allison","/chamber-1/member-17","Niagara West","/chamber-1/constituency-272","Member","2004-10-07","2005-11-29","3","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-21","/parliament-38/chamber-1/committee-21/member-17","/parliament-38/chamber-1/committee-21/member-17"
"4",38,1,1,7,19,"Finance","FINA","/chamber-1/committee-7","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Member","2004-10-07","2005-11-29","4","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-7","/parliament-38/chamber-1/committee-7/member-19","/parliament-38/chamber-1/committee-7/member-19"
"5",38,1,1,3,23,"Agriculture and Agri-Food","AGRI","/chamber-1/committee-3","David Anderson","/chamber-1/member-23","Cypress Hills—Grasslands","/chamber-1/constituency-109","Member","2004-10-07","2005-11-29","5","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-3","/parliament-38/chamber-1/committee-3/member-23","/parliament-38/chamber-1/committee-3/member-23"
"6",38,1,1,19,24,"Official Languages","LANG","/chamber-1/committee-19","Guy André","/chamber-1/member-24","Berthier—Maskinongé","/chamber-1/constituency-34","Member","2004-10-07","2005-04-18","6","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-19","/parliament-38/chamber-1/committee-19/member-24","/parliament-38/chamber-1/committee-19/member-24"
"7",38,1,1,3,26,"Agriculture and Agri-Food","AGRI","/chamber-1/committee-3","Charlie Angus","/chamber-1/member-26","Timmins—James Bay","/chamber-1/constituency-409","Member","2004-10-07","2005-11-29","7","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-3","/parliament-38/chamber-1/committee-3/member-26","/parliament-38/chamber-1/committee-3/member-26"
"8",38,1,1,17,41,"National Defence","NDDN","/chamber-1/committee-17","Claude Bachand","/chamber-1/member-41","Saint-Jean","/chamber-1/constituency-353","Co-chair","2004-10-14","2005-11-29","8","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-17","/parliament-38/chamber-1/committee-17/member-41","/parliament-38/chamber-1/committee-17/member-41"
"9",38,1,1,17,41,"National Defence","NDDN","/chamber-1/committee-17","Claude Bachand","/chamber-1/member-41","Saint-Jean","/chamber-1/constituency-353","Member","2004-10-07","2005-10-07","9","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-17","/parliament-38/chamber-1/committee-17/member-41","/parliament-38/chamber-1/committee-17/member-41"
"10",38,1,1,8,43,"Fisheries and Oceans","FOPO","/chamber-1/committee-8","Larry Bagnell","/chamber-1/member-43","Yukon","/chamber-1/constituency-458","Member","2004-10-07","2005-11-29","10","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-8","/parliament-38/chamber-1/committee-8/member-43","/parliament-38/chamber-1/committee-8/member-43"
"11",38,1,1,2,44,"Access to Information, Privacy and Ethics","ETHI","/chamber-1/committee-2","Navdeep Bains","/chamber-1/member-44","Mississauga—Malton","/chamber-1/constituency-251","Member","2004-10-07","2005-11-29","11","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-2","/parliament-38/chamber-1/committee-2/member-44","/parliament-38/chamber-1/committee-2/member-44"
