"","committee_acronym","parliament_number","session_number","date_change"
"1","AANO","38","1","November 29, 2005"
"2","AANO","38","1","October 18, 2005"
"3","AANO","38","1","October 7, 2005"
"4","AANO","38","1","October 6, 2005"
"5","AANO","38","1","October 19, 2004"
"6","AANO","38","1","October 7, 2004"
"7","AANO","39","1","September 14, 2007"
"8","AANO","39","1","February 7, 2007"
"9","AANO","39","1","November 9, 2006"
"10","AANO","39","1","September 26, 2006"
"11","AANO","39","1","September 21, 2006"
"12","AANO","39","1","May 30, 2006"
"13","AANO","39","1","May 10, 2006"
"14","AANO","39","1","May 1, 2006"
"15","AANO","39","1","April 28, 2006"
"16","AANO","39","1","April 26, 2006"
"17","AANO","39","2","September 7, 2008"
"18","AANO","39","2","April 4, 2008"
"19","AANO","39","2","November 13, 2007"
"20","AANO","39","2","October 31, 2007"
"21","AANO","40","2","December 30, 2009"
"22","AANO","40","2","October 2, 2009"
"23","AANO","40","2","October 1, 2009"
"24","AANO","40","2","September 28, 2009"
"25","AANO","40","2","February 3, 2009"
"26","AANO","40","2","January 27, 2009"
"27","AANO","40","3","March 26, 2011"
"28","AANO","40","3","February 3, 2011"
"29","AANO","40","3","September 29, 2010"
"30","AANO","40","3","September 27, 2010"
"31","AANO","40","3","March 11, 2010"
"32","AANO","40","3","March 4, 2010"
"33","AANO","41","1","September 13, 2013"
"34","AANO","41","1","June 7, 2013"
"35","AANO","41","1","February 25, 2013"
"36","AANO","41","1","January 28, 2013"
"37","AANO","41","1","September 26, 2012"
"38","AANO","41","1","September 20, 2012"
"39","AANO","41","1","May 3, 2012"
"40","AANO","41","1","April 23, 2012"
"41","AANO","41","1","November 2, 2011"
"42","AANO","41","1","June 23, 2011"
"43","AANO","41","1","June 13, 2011"
"44","AANO","41","2","August 2, 2015"
"45","AANO","41","2","February 19, 2015"
"46","AANO","41","2","February 17, 2015"
"47","AANO","41","2","February 5, 2015"
"48","AANO","41","2","January 29, 2015"
"49","AANO","41","2","November 19, 2014"
"50","AANO","41","2","February 25, 2014"
"51","AANO","41","2","February 24, 2014"
"52","AANO","41","2","October 29, 2013"
"53","AANO","41","2","October 22, 2013"
"54","AANO","42","1","September 11, 2019"
"55","AANO","42","1","September 19, 2018"
"56","AANO","42","1","September 12, 2018"
"57","AANO","42","1","August 30, 2018"
"58","AANO","42","1","May 22, 2018"
"59","AANO","42","1","February 26, 2018"
"60","AANO","42","1","September 19, 2017"
"61","AANO","42","1","September 18, 2017"
"62","AANO","42","1","February 2, 2017"
"63","AANO","42","1","January 31, 2017"
"64","AANO","42","1","January 27, 2017"
"65","AANO","42","1","December 5, 2016"
"66","AANO","42","1","December 1, 2016"
"67","AANO","42","1","February 4, 2016"
"68","AANO","42","1","January 29, 2016"
"69","ACVA","39","1","September 14, 2007"
"70","ACVA","39","1","April 20, 2007"
"71","ACVA","39","1","February 16, 2007"
"72","ACVA","39","1","February 2, 2007"
"73","ACVA","39","1","January 30, 2007"
"74","ACVA","39","1","September 25, 2006"
"75","ACVA","39","1","September 21, 2006"
"76","ACVA","39","1","June 9, 2006"
"77","ACVA","39","1","May 9, 2006"
"78","ACVA","39","1","April 26, 2006"
"79","ACVA","39","2","September 7, 2008"
"80","ACVA","39","2","November 15, 2007"
"81","ACVA","39","2","October 31, 2007"
"82","ACVA","40","2","December 30, 2009"
"83","ACVA","40","2","October 6, 2009"
"84","ACVA","40","2","September 28, 2009"
"85","ACVA","40","2","February 4, 2009"
"86","ACVA","40","2","January 27, 2009"
"87","ACVA","40","3","March 26, 2011"
