"","X","committee_acronym","parliament_number","session_number","date_change","dc"
"1",1,"AFGH",39,2,"September 7 2008",2008-09-07
"2",2,"AFGH",39,2,"April 15 2008",2008-04-15
"3",3,"AFGH",39,2,"April 10 2008",2008-04-10
"4",4,"AFGH",40,2,"December 30 2009",2009-12-30
"5",5,"AFGH",40,2,"October 7 2009",2009-10-07
"6",6,"AFGH",40,2,"May 28 2009",2009-05-28
"7",7,"AFGH",40,2,"March 11 2009",2009-03-11
"8",8,"AFGH",40,2,"March 6 2009",2009-03-06
"9",9,"AFGH",40,2,"February 10 2009",2009-02-10
"10",10,"AFGH",40,3,"March 26 2011",2011-03-26
"11",11,"AFGH",40,3,"February 9 2011",2011-02-09
"12",12,"AFGH",40,3,"February 3 2011",2011-02-03
"13",13,"AFGH",40,3,"October 6 2010",2010-10-06
"14",14,"AFGH",40,3,"September 30 2010",2010-09-30
"15",15,"AFGH",40,3,"March 22 2010",2010-03-22
"16",16,"AFGH",40,3,"March 11 2010",2010-03-11
"17",17,"AFGH",40,3,"March 4 2010",2010-03-04
"18",18,"AFGH",40,3,"March 3 2010",2010-03-03
"19",19,"BILI",39,1,"September 14 2007",2007-09-14
"20",20,"BILI",39,1,"June 12 2007",2007-06-12
"21",21,"BILI",39,1,"March 1 2007",2007-03-01
"22",22,"BILI",39,1,"January 30 2007",2007-01-30
"23",23,"BILI",39,1,"January 29 2007",2007-01-29
"24",24,"BILI",39,1,"September 21 2006",2006-09-21
"25",25,"BILI",39,1,"June 9 2006",2006-06-09
"26",26,"BILI",39,1,"June 8 2006",2006-06-08
"27",27,"BILI",39,1,"May 30 2006",2006-05-30
"28",28,"BILI",39,1,"April 26 2006",2006-04-26
"29",29,"BILI",39,1,"April 6 2006",2006-04-06
"30",30,"BILI",39,2,"September 7 2008",2008-09-07
"31",31,"BILI",39,2,"November 29 2007",2007-11-29
"32",32,"BILI",39,2,"November 1 2007",2007-11-01
"33",33,"BILI",39,2,"October 31 2007",2007-10-31
"34",34,"BILI",40,2,"December 30 2009",2009-12-30
"35",35,"BILI",40,2,"October 8 2009",2009-10-08
"36",36,"BILI",40,2,"September 28 2009",2009-09-28
"37",37,"BILI",40,2,"March 5 2009",2009-03-05
"38",38,"BILI",40,2,"February 12 2009",2009-02-12
"39",39,"BILI",40,2,"February 10 2009",2009-02-10
"40",40,"BILI",40,2,"January 27 2009",2009-01-27
"41",41,"BILI",40,3,"March 26 2011",2011-03-26
"42",42,"BILI",40,3,"February 9 2011",2011-02-09
"43",43,"BILI",40,3,"February 3 2011",2011-02-03
"44",44,"BILI",40,3,"December 1 2010",2010-12-01
"45",45,"BILI",40,3,"November 18 2010",2010-11-18
"46",46,"BILI",40,3,"November 5 2010",2010-11-05
"47",47,"BILI",40,3,"November 3 2010",2010-11-03
"48",48,"BILI",40,3,"October 7 2010",2010-10-07
"49",49,"BILI",40,3,"October 6 2010",2010-10-06
"50",50,"BILI",40,3,"September 27 2010",2010-09-27
"51",51,"BILI",40,3,"April 23 2010",2010-04-23
"52",52,"BILI",40,3,"April 22 2010",2010-04-22
"53",53,"BILI",40,3,"April 21 2010",2010-04-21
"54",54,"BILI",40,3,"March 5 2010",2010-03-05
"55",55,"BILI",40,3,"March 4 2010",2010-03-04
"56",56,"BILI",40,3,"March 3 2010",2010-03-03
"57",57,"BILI",41,1,"September 13 2013",2013-09-13
"58",58,"BILI",41,1,"June 7 2013",2013-06-07
"59",59,"BILI",41,1,"March 28 2013",2013-03-28
"60",60,"BILI",41,1,"January 28 2013",2013-01-28
"61",61,"BILI",41,1,"September 28 2012",2012-09-28
"62",62,"BILI",41,1,"September 27 2012",2012-09-27
"63",63,"BILI",41,1,"September 20 2012",2012-09-20
"64",64,"BILI",41,1,"April 23 2012",2012-04-23
"65",65,"BILI",41,1,"January 31 2012",2012-01-31
"66",66,"BILI",41,1,"September 30 2011",2011-09-30
"67",67,"BILI",41,1,"September 29 2011",2011-09-29
"68",68,"BILI",41,1,"September 27 2011",2011-09-27
"69",69,"BILI",41,1,"September 26 2011",2011-09-26
"70",70,"BILI",41,1,"September 13 2011",2011-09-13
"71",71,"BILI",41,1,"June 13 2011",2011-06-13
"72",72,"BILI",41,2,"August 2 2015",2015-08-02
"73",73,"BILI",41,2,"May 7 2015",2015-05-07
"74",74,"BILI",41,2,"May 6 2015",2015-05-06
"75",75,"BILI",41,2,"April 22 2015",2015-04-22
"76",76,"BILI",41,2,"April 17 2015",2015-04-17
"77",77,"BILI",41,2,"March 26 2015",2015-03-26
"78",78,"BILI",41,2,"February 17 2015",2015-02-17
"79",79,"BILI",41,2,"January 29 2015",2015-01-29
"80",80,"BILI",41,2,"November 19 2014",2014-11-19
