"","parliament_number","session_number","chamber_number","committee_number","member_number","committee_name","committee_acronym","committee_ID","member_name","member_ID","constituency_name","constituency_ID","position","start_date","end_date","observation_mumber","parliament_path","chamber_path","committee_path","member_path","observation_path"
"1",38,1,1,15,1,"Library of Parliament","LIBI","/chamber-1/committee-15","Jim Abbott","/chamber-1/member-1","Kootenay—Columbia","/chamber-1/constituency-195","Associate Member","2004-10-07","2005-11-29","1","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-1","/parliament-38/chamber-1/committee-15/member-1"
"2",38,1,1,15,2,"Library of Parliament","LIBI","/chamber-1/committee-15","Diane Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","/chamber-1/constituency-76","Associate Member","2004-10-07","2005-11-29","2","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-2","/parliament-38/chamber-1/committee-15/member-2"
"3",38,1,1,15,17,"Library of Parliament","LIBI","/chamber-1/committee-15","Dean Allison","/chamber-1/member-17","Niagara West","/chamber-1/constituency-272","Associate Member","2004-10-07","2005-11-29","3","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-17","/parliament-38/chamber-1/committee-15/member-17"
"4",38,1,1,10,19,"Bill C-38","CC38","/chamber-1/committee-10","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Member","2005-02-24","2005-05-17","4","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-10","/parliament-38/chamber-1/committee-10/member-19","/parliament-38/chamber-1/committee-10/member-19"
"5",38,1,1,15,19,"Library of Parliament","LIBI","/chamber-1/committee-15","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Associate Member","2004-10-07","2005-11-29","5","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-19","/parliament-38/chamber-1/committee-15/member-19"
"6",38,1,1,15,22,"Library of Parliament","LIBI","/chamber-1/committee-15","Rob Anders","/chamber-1/member-22","Calgary West","/chamber-1/constituency-75","Associate Member","2004-10-07","2005-11-29","6","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-22","/parliament-38/chamber-1/committee-15/member-22"
"7",38,1,1,18,22,"Scrutiny of Regulations","REGS","/chamber-1/committee-18","Rob Anders","/chamber-1/member-22","Calgary West","/chamber-1/constituency-75","Member","2004-10-07","2005-11-29","7","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-18","/parliament-38/chamber-1/committee-18/member-22","/parliament-38/chamber-1/committee-18/member-22"
"8",38,1,1,18,22,"Scrutiny of Regulations","REGS","/chamber-1/committee-18","Rob Anders","/chamber-1/member-22","Calgary West","/chamber-1/constituency-75","Joint Chair","2005-06-15","2005-11-29","8","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-18","/parliament-38/chamber-1/committee-18/member-22","/parliament-38/chamber-1/committee-18/member-22"
"9",38,1,1,15,23,"Library of Parliament","LIBI","/chamber-1/committee-15","David Anderson","/chamber-1/member-23","Cypress Hills—Grasslands","/chamber-1/constituency-109","Associate Member","2004-10-07","2005-11-29","9","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-23","/parliament-38/chamber-1/committee-15/member-23"
"10",38,1,1,15,24,"Library of Parliament","LIBI","/chamber-1/committee-15","Guy André","/chamber-1/member-24","Berthier—Maskinongé","/chamber-1/constituency-34","Member","2005-10-07","2005-11-29","10","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-15","/parliament-38/chamber-1/committee-15/member-24","/parliament-38/chamber-1/committee-15/member-24"
