"","observation_path","chamber_path","committee_path","observation_number","chamber_number","committee_number","committee_name","committee_acronym","committee_type"
"1","/chamber-1/committee-1","/chamber-1","/chamber-1/committee-1","1",1,"1","Bill C-11","CC11","Legislative Committees"
"2","/chamber-1/committee-2","/chamber-1","/chamber-1/committee-2","2",1,"2","Bill C-18","CC18","Legislative Committees"
"3","/chamber-1/committee-3","/chamber-1","/chamber-1/committee-3","3",1,"3","Bill C-2","CC2","Legislative Committees"
"4","/chamber-1/committee-4","/chamber-1","/chamber-1/committee-4","4",1,"4","Bill C-20","CC20","Legislative Committees"
"5","/chamber-1/committee-5","/chamber-1","/chamber-1/committee-5","5",1,"5","Bill C-27","CC27","Legislative Committees"
"6","/chamber-1/committee-6","/chamber-1","/chamber-1/committee-6","6",1,"6","Bill C-30","CC30","Legislative Committees"
"7","/chamber-1/committee-7","/chamber-1","/chamber-1/committee-7","7",1,"7","Bill C-31","CC31","Legislative Committees"
"8","/chamber-1/committee-8","/chamber-1","/chamber-1/committee-8","8",1,"8","Bill C-32","CC32","Legislative Committees"
"9","/chamber-1/committee-9","/chamber-1","/chamber-1/committee-9","9",1,"9","Bill C-35","CC35","Legislative Committees"
"10","/chamber-1/committee-10","/chamber-1","/chamber-1/committee-10","10",1,"10","Bill C-38","CC38","Legislative Committees"
"11","/chamber-1/committee-11","/chamber-1","/chamber-1/committee-11","11",1,"11","Bill C-49","CC49","Legislative Committees"
"12","/chamber-1/committee-12","/chamber-1","/chamber-1/committee-12","12",1,"12","Electoral Reform","ERRE","Special Committees"
"13","/chamber-1/committee-13","/chamber-1","/chamber-1/committee-13","13",1,"13","Liaison","LIAI","Other Committees"
"14","/chamber-1/committee-14","/chamber-1","/chamber-1/committee-14","14",1,"14","Library of Parliament","BILI","Joint Committees"
"15","/chamber-1/committee-15","/chamber-1","/chamber-1/committee-15","15",1,"15","Library of Parliament","LIBI","Joint Committees"
"16","/chamber-1/committee-16","/chamber-1","/chamber-1/committee-16","16",1,"16","Pay Equity","ESPE","Special Committees"
"17","/chamber-1/committee-17","/chamber-1","/chamber-1/committee-17","17",1,"17","Physician-Assisted Dying","PDAM","Joint Committees"
"18","/chamber-1/committee-18","/chamber-1","/chamber-1/committee-18","18",1,"18","Scrutiny of Regulations","REGS","Joint Committees"
"19","/chamber-1/committee-19","/chamber-1","/chamber-1/committee-19","19",1,"19","Special Committee on Co-operatives","COOP","Special Committees"
"20","/chamber-1/committee-20","/chamber-1","/chamber-1/committee-20","20",1,"20","Special Committee on the Canadian Mission in Afghanistan","AFGH","Special Committees"
"21","/chamber-1/committee-21","/chamber-1","/chamber-1/committee-21","21",1,"21","Special Committee on Violence Against Indigenous Women","IWFA","Special Committees"
