"","parliament_number","session_number","chamber_number","committee_number","member_number","committee_name","committee_acronym","committee_ID","member_name","member_ID","constituency_name","constituency_ID","position","start_date","end_date","observation_mumber","parliament_path","chamber_path","committee_path","member_path","observation_path"
"1",38,1,1,1,1,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Jim Abbott","/chamber-1/member-1","Kootenay—Columbia","/chamber-1/constituency-195","Associate Member","2004-10-07","2005-11-29","1","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-1","/parliament-38/chamber-1/committee-1/member-1"
"2",38,1,1,1,2,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Diane Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","/chamber-1/constituency-76","Associate Member","2004-10-07","2005-11-29","2","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-2","/parliament-38/chamber-1/committee-1/member-2"
"3",38,1,1,5,2,"Citizenship and Immigration","CIMM","/chamber-1/committee-5","Diane Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","/chamber-1/constituency-76","Member","2004-10-07","2005-11-29","3","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-5","/parliament-38/chamber-1/committee-5/member-2","/parliament-38/chamber-1/committee-5/member-2"
"4",38,1,1,3,5,"Agriculture and Agri-Food","AGRI","/chamber-1/committee-3","Peter Adams","/chamber-1/member-5","Peterborough","/chamber-1/constituency-306","Associate Member","2004-10-07","2005-11-29","4","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-3","/parliament-38/chamber-1/committee-3/member-5","/parliament-38/chamber-1/committee-3/member-5"
"5",38,1,1,12,5,"Human Resources, Skills and Social Development and the Status of Persons with Disabilities","HUMA","/chamber-1/committee-12","Peter Adams","/chamber-1/member-5","Peterborough","/chamber-1/constituency-306","Member","2004-10-07","2005-11-29","5","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-12","/parliament-38/chamber-1/committee-12/member-5","/parliament-38/chamber-1/committee-12/member-5"
"6",38,1,1,1,17,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Dean Allison","/chamber-1/member-17","Niagara West","/chamber-1/constituency-272","Associate Member","2004-10-07","2005-11-29","6","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-17","/parliament-38/chamber-1/committee-1/member-17"
"7",38,1,1,21,17,"Public Accounts","PACP","/chamber-1/committee-21","Dean Allison","/chamber-1/member-17","Niagara West","/chamber-1/constituency-272","Member","2004-10-07","2005-11-29","7","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-21","/parliament-38/chamber-1/committee-21/member-17","/parliament-38/chamber-1/committee-21/member-17"
"8",38,1,1,1,19,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Associate Member","2004-10-07","2005-11-29","8","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-19","/parliament-38/chamber-1/committee-1/member-19"
"9",38,1,1,7,19,"Finance","FINA","/chamber-1/committee-7","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Member","2004-10-07","2005-11-29","9","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-7","/parliament-38/chamber-1/committee-7/member-19","/parliament-38/chamber-1/committee-7/member-19"
"10",38,1,1,1,22,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","Rob Anders","/chamber-1/member-22","Calgary West","/chamber-1/constituency-75","Associate Member","2004-10-07","2005-11-29","10","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-22","/parliament-38/chamber-1/committee-1/member-22"
"11",38,1,1,1,23,"Aboriginal Affairs and Northern Development","AANO","/chamber-1/committee-1","David Anderson","/chamber-1/member-23","Cypress Hills—Grasslands","/chamber-1/constituency-109","Associate Member","2004-10-07","2005-11-29","11","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-1","/parliament-38/chamber-1/committee-1/member-23","/parliament-38/chamber-1/committee-1/member-23"
"12",38,1,1,3,23,"Agriculture and Agri-Food","AGRI","/chamber-1/committee-3","David Anderson","/chamber-1/member-23","Cypress Hills—Grasslands","/chamber-1/constituency-109","Member","2004-10-07","2005-11-29","12","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-3","/parliament-38/chamber-1/committee-3/member-23","/parliament-38/chamber-1/committee-3/member-23"
