"","parliament_number","session_number","chamber_number","committee_number","member_number","committee_name","committee_acronym","committee_ID","member_name","member_ID","constituency_name","constituency_ID","position","start_date","end_date","observation_mumber","parliament_path","chamber_path","committee_path","member_path","observation_path"
"1",38,1,1,14,2,"Subcommittee of CIMM on Agenda and Procedure","SCIM","/chamber-1/committee-14","Diane Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","/chamber-1/constituency-76","Member","2004-12-07","2005-11-29","1","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-14","/parliament-38/chamber-1/committee-14/member-2","/parliament-38/chamber-1/committee-14/member-2"
"2",38,1,1,28,19,"Subcommittee of FINA on Fiscal Imbalance","SFIS","/chamber-1/committee-28","Rona Ambrose","/chamber-1/member-19","Sturgeon River—Parkland","/chamber-1/constituency-397","Member","2004-12-07","2005-10-21","2","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-28","/parliament-38/chamber-1/committee-28/member-19","/parliament-38/chamber-1/committee-28/member-19"
"3",38,1,1,48,22,"Subcommittee of LIAI on Committee Budgets","SBLI","/chamber-1/committee-48","Rob Anders","/chamber-1/member-22","Calgary West","/chamber-1/constituency-75","Member","2005-10-27","2005-11-29","3","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-48","/parliament-38/chamber-1/committee-48/member-22","/parliament-38/chamber-1/committee-48/member-22"
"4",38,1,1,50,24,"Subcommittee of LIBI on Committee Budgets","SLIB","/chamber-1/committee-50","Guy André","/chamber-1/member-24","Berthier—Maskinongé","/chamber-1/constituency-34","Member","2005-11-21","2005-11-29","4","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-50","/parliament-38/chamber-1/committee-50/member-24","/parliament-38/chamber-1/committee-50/member-24"
"5",38,1,1,50,26,"Subcommittee of LIBI on Committee Budgets","SLIB","/chamber-1/committee-50","Charlie Angus","/chamber-1/member-26","Timmins—James Bay","/chamber-1/constituency-409","Member","2004-11-22","2004-11-22","5","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-50","/parliament-38/chamber-1/committee-50/member-26","/parliament-38/chamber-1/committee-50/member-26"
"6",38,1,1,51,41,"Subcommittee of NDDN on Agenda and Procedure","SNDD","/chamber-1/committee-51","Claude Bachand","/chamber-1/member-41","Saint-Jean","/chamber-1/constituency-353","Member","2004-10-18","2005-11-29","6","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-51","/parliament-38/chamber-1/committee-51/member-41","/parliament-38/chamber-1/committee-51/member-41"
"7",38,1,1,52,43,"Subcommittee of NDDN on Veterans Affairs","SVAC","/chamber-1/committee-52","Larry Bagnell","/chamber-1/member-43","Yukon","/chamber-1/constituency-458","Member","2004-11-15","2005-11-29","7","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-52","/parliament-38/chamber-1/committee-52/member-43","/parliament-38/chamber-1/committee-52/member-43"
"8",38,1,1,21,44,"Subcommittee of FAAE on Human Rights and International Development","SDEV","/chamber-1/committee-21","Navdeep Bains","/chamber-1/member-44","Mississauga—Malton","/chamber-1/constituency-251","Member","2004-10-19","2005-11-29","8","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-21","/parliament-38/chamber-1/committee-21/member-44","/parliament-38/chamber-1/committee-21/member-44"
"9",38,1,1,21,44,"Subcommittee of FAAE on Human Rights and International Development","SDEV","/chamber-1/committee-21","Navdeep Bains","/chamber-1/member-44","Mississauga—Malton","/chamber-1/constituency-251","Chair","2005-04-14","2005-04-14","9","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-21","/parliament-38/chamber-1/committee-21/member-44","/parliament-38/chamber-1/committee-21/member-44"
"10",38,1,1,53,65,"Subcommittee of OGGO on Agenda and Procedure","SOGG","/chamber-1/committee-53","Leon Benoit","/chamber-1/member-65","Vegreville—Wainwright","/chamber-1/constituency-428","Chair","2004-10-14","2005-10-07","10","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/committee-53","/parliament-38/chamber-1/committee-53/member-65","/parliament-38/chamber-1/committee-53/member-65"
