"","observation_path","chamber_path","committee_path","observation_number","chamber_number","committee_number","committee_name","committee_acronym","committee_type","super_committee_acronym","super_committee_name","super_committee_type"
"1","/chamber-1/committee-1","/chamber-1","/chamber-1/committee-1","1",1,"1","Subcommittee of AANO on Agenda and Procedure","SAAN","Subcommittee","AANO","Aboriginal Affairs and Northern Development","Standing Committees"
"2","/chamber-1/committee-2","/chamber-1","/chamber-1/committee-2","2",1,"2","Subcommittee of ACVA on Agenda and Procedure","SACV","Subcommittee","ACVA","Veterans Affairs","Standing Committees"
"3","/chamber-1/committee-3","/chamber-1","/chamber-1/committee-3","3",1,"3","Subcommittee of AFGH on Agenda and Procedure","SAFG","Subcommittee","AFGH","Special Committee on the Canadian Mission in Afghanistan","Special Committees"
"4","/chamber-1/committee-4","/chamber-1","/chamber-1/committee-4","4",1,"4","Subcommittee of AGRI on Agenda and Procedure","SAGR","Subcommittee","AGRI","Agriculture and Agri-Food","Standing Committees"
"5","/chamber-1/committee-5","/chamber-1","/chamber-1/committee-5","5",1,"5","Subcommittee of AGRI on Food Safety","SFSA","Subcommittee","AGRI","Agriculture and Agri-Food","Standing Committees"
"6","/chamber-1/committee-6","/chamber-1","/chamber-1/committee-6","6",1,"6","Subcommittee of BILI on Committee Budgets","SBIL","Subcommittee","BILI","Library of Parliament","Joint Committees"
"7","/chamber-1/committee-7","/chamber-1","/chamber-1/committee-7","7",1,"7","Subcommittee of CC2 on Agenda and Procedure","SCC2","Subcommittee","CC2","Bill C-2","Legislative Committees"
"8","/chamber-1/committee-8","/chamber-1","/chamber-1/committee-8","8",1,"8","Subcommittee of CC20 on Agenda and Procedure","SC20","Subcommittee","CC20","Bill C-20","Legislative Committees"
"9","/chamber-1/committee-9","/chamber-1","/chamber-1/committee-9","9",1,"9","Subcommittee of CC30 on Agenda and Procedure","SCC30","Subcommittee","CC30","Bill C-30","Legislative Committees"
"10","/chamber-1/committee-10","/chamber-1","/chamber-1/committee-10","10",1,"10","Subcommittee of CC35 on Agenda and Procedure","SCC35","Subcommittee","CC35","Bill C-35","Legislative Committees"
"11","/chamber-1/committee-11","/chamber-1","/chamber-1/committee-11","11",1,"11","Subcommittee of CC38 on Agenda and Procedure","SCC3","Subcommittee","CC38","Bill C-38","Legislative Committees"
"12","/chamber-1/committee-12","/chamber-1","/chamber-1/committee-12","12",1,"12","Subcommittee of CHPC on Agenda and Procedure","SCHP","Subcommittee","CHPC","Canadian Heritage","Standing Committees"
"13","/chamber-1/committee-13","/chamber-1","/chamber-1/committee-13","13",1,"13","Subcommittee of CIIT on Agenda and Procedure","SCII","Subcommittee","CIIT","International Trade","Standing Committees"
"14","/chamber-1/committee-14","/chamber-1","/chamber-1/committee-14","14",1,"14","Subcommittee of CIMM on Agenda and Procedure","SCIM","Subcommittee","CIMM","Citizenship and Immigration","Standing Committees"
"15","/chamber-1/committee-15","/chamber-1","/chamber-1/committee-15","15",1,"15","Subcommittee of COOP on Agenda and Procedure","SCOO","Subcommittee","COOP","Special Committee on Co-operatives","Special Committees"
"16","/chamber-1/committee-16","/chamber-1","/chamber-1/committee-16","16",1,"16","Subcommittee of ENVI on Agenda and Procedure","SENV","Subcommittee","ENVI","Environment and Sustainable Development","Standing Committees"
"17","/chamber-1/committee-17","/chamber-1","/chamber-1/committee-17","17",1,"17","Subcommittee of ERRE on Agenda and Procedure","SERR","Subcommittee","ERRE","Electoral Reform","Special Committees"
"18","/chamber-1/committee-18","/chamber-1","/chamber-1/committee-18","18",1,"18","Subcommittee of ESPE on Agenda and Procedure","SESP","Subcommittee","ESPE","Pay Equity","Special Committees"
"19","/chamber-1/committee-19","/chamber-1","/chamber-1/committee-19","19",1,"19","Subcommittee of ETHI on Agenda and Procedure","SETH","Subcommittee","ETHI","Access to Information, Privacy and Ethics","Standing Committees"
"20","/chamber-1/committee-20","/chamber-1","/chamber-1/committee-20","20",1,"20","Subcommittee of FAAE on Agenda and Procedure","SFAA","Subcommittee","FAAE","Foreign Affairs and International Development","Standing Committees"
"21","/chamber-1/committee-21","/chamber-1","/chamber-1/committee-21","21",1,"21","Subcommittee of FAAE on Human Rights and International Development","SDEV","Subcommittee","FAAE","Foreign Affairs and International Development","Standing Committees"
"22","/chamber-1/committee-22","/chamber-1","/chamber-1/committee-22","22",1,"22","Subcommittee of FAAE on International Human Rights","SDIR","Subcommittee","FAAE","Foreign Affairs and International Development","Standing Committees"
"23","/chamber-1/committee-23","/chamber-1","/chamber-1/committee-23","23",1,"23","Subcommittee of FAAE on International Trade, Trade Disputes and Investment","SINT","Subcommittee","FAAE","Foreign Affairs and International Development","Standing Committees"
"24","/chamber-1/committee-24","/chamber-1","/chamber-1/committee-24","24",1,"24","Subcommittee of FEWO on Agenda and Procedure","SFEW","Subcommittee","FEWO","Status of Women","Standing Committees"
"25","/chamber-1/committee-25","/chamber-1","/chamber-1/committee-25","25",1,"25","Subcommittee of FINA on Agenda and Procedure","SFIN","Subcommittee","FINA","Finance","Standing Committees"
"26","/chamber-1/committee-26","/chamber-1","/chamber-1/committee-26","26",1,"26","Subcommittee of FINA on Bill C-28","SC28","Subcommittee","FINA","Finance","Standing Committees"
"27","/chamber-1/committee-27","/chamber-1","/chamber-1/committee-27","27",1,"27","Subcommittee of FINA on Bill C-38 (Part 3) of the Standing Committee on Finance","SC38","Subcommittee","FINA","Finance","Standing Committees"
"28","/chamber-1/committee-28","/chamber-1","/chamber-1/committee-28","28",1,"28","Subcommittee of FINA on Fiscal Imbalance","SFIS","Subcommittee","FINA","Finance","Standing Committees"
"29","/chamber-1/committee-29","/chamber-1","/chamber-1/committee-29","29",1,"29","Subcommittee of FOPO on Agenda and Procedure","SFOP","Subcommittee","FOPO","Fisheries and Oceans","Standing Committees"
"30","/chamber-1/committee-30","/chamber-1","/chamber-1/committee-30","30",1,"30","Subcommittee of HESA on Agenda and Procedure","SHES","Subcommittee","HESA","Health","Standing Committees"
"31","/chamber-1/committee-31","/chamber-1","/chamber-1/committee-31","31",1,"31","Subcommittee of HESA on Neurological Diseases","SMND","Subcommittee","HESA","Health","Standing Committees"
"32","/chamber-1/committee-32","/chamber-1","/chamber-1/committee-32","32",1,"32","Subcommittee of HESA on Sports-Related Concussions in Canada","SCSC","Subcommittee","HESA","Health","Standing Committees"
"33","/chamber-1/committee-33","/chamber-1","/chamber-1/committee-33","33",1,"33","Subcommittee of HUMA on Agenda and Procedure","SHUM","Subcommittee","HUMA","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","Standing Committees"
"34","/chamber-1/committee-34","/chamber-1","/chamber-1/committee-34","34",1,"34","Subcommittee of HUMA on the Employment Insurance Funds","SEMP","Subcommittee","HUMA","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","Standing Committees"
"35","/chamber-1/committee-35","/chamber-1","/chamber-1/committee-35","35",1,"35","Subcommittee of HUMA on the Status of Persons with Disabilities","SPER","Subcommittee","HUMA","Human Resources, Skills and Social Development and the Status of Persons with Disabilities","Standing Committees"
