"","committee_acronym","parliament_number","session_number","date_change","title","first_name","last_name","full_name"
"1.1","AANO","38","1","2004-10-07","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"1.2","AANO","38","1","2004-10-07","Co-chair","Jeremy","Harrison","Jeremy Harrison"
"1.3","AANO","38","1","2004-10-07","Co-chair","Bernard","Cleary","Bernard Cleary"
"1.4","AANO","38","1","2004-10-07","Member","Sue","Barnes","Sue Barnes"
"1.5","AANO","38","1","2004-10-07","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"1.6","AANO","38","1","2004-10-07","Member","Inky","Mark","Inky Mark"
"1.7","AANO","38","1","2004-10-07","Member","Pat","Martin","Pat Martin"
"1.8","AANO","38","1","2004-10-07","Member","Serge","Ménard","Serge Ménard"
"1.9","AANO","38","1","2004-10-07","Member","Jim","Prentice","Jim Prentice"
"1.10","AANO","38","1","2004-10-07","Member","Carol","Skelton","Carol Skelton"
"1.11","AANO","38","1","2004-10-07","Member","David","Smith","David Smith"
"1.12","AANO","38","1","2004-10-07","Member","Roger","Valley","Roger Valley"
"2.1","AANO","38","1","2004-10-19","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"2.2","AANO","38","1","2004-10-19","Co-chair","Jeremy","Harrison","Jeremy Harrison"
"2.3","AANO","38","1","2004-10-19","Co-chair","Bernard","Cleary","Bernard Cleary"
"2.4","AANO","38","1","2004-10-19","Member","Sue","Barnes","Sue Barnes"
"2.5","AANO","38","1","2004-10-19","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"2.6","AANO","38","1","2004-10-19","Member","Inky","Mark","Inky Mark"
"2.7","AANO","38","1","2004-10-19","Member","Pat","Martin","Pat Martin"
"2.8","AANO","38","1","2004-10-19","Member","Serge","Ménard","Serge Ménard"
"2.9","AANO","38","1","2004-10-19","Member","Jim","Prentice","Jim Prentice"
"2.10","AANO","38","1","2004-10-19","Member","Carol","Skelton","Carol Skelton"
"2.11","AANO","38","1","2004-10-19","Member","David","Smith","David Smith"
"2.12","AANO","38","1","2004-10-19","Member","Roger","Valley","Roger Valley"
"3.1","AANO","38","1","2005-10-06","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"3.2","AANO","38","1","2005-10-06","Co-chair","Jeremy","Harrison","Jeremy Harrison"
"3.3","AANO","38","1","2005-10-06","Co-chair","Bernard","Cleary","Bernard Cleary"
"3.4","AANO","38","1","2005-10-06","Member","Sue","Barnes","Sue Barnes"
"3.5","AANO","38","1","2005-10-06","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"3.6","AANO","38","1","2005-10-06","Member","Inky","Mark","Inky Mark"
"3.7","AANO","38","1","2005-10-06","Member","Pat","Martin","Pat Martin"
"3.8","AANO","38","1","2005-10-06","Member","Serge","Ménard","Serge Ménard"
"3.9","AANO","38","1","2005-10-06","Member","Jim","Prentice","Jim Prentice"
"3.10","AANO","38","1","2005-10-06","Member","Carol","Skelton","Carol Skelton"
"3.11","AANO","38","1","2005-10-06","Member","David","Smith","David Smith"
"3.12","AANO","38","1","2005-10-06","Member","Roger","Valley","Roger Valley"
"4.1","AANO","38","1","2005-10-07","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"4.2","AANO","38","1","2005-10-07","Co-chair","Jeremy","Harrison","Jeremy Harrison"
"4.3","AANO","38","1","2005-10-07","Co-chair","Bernard","Cleary","Bernard Cleary"
