"","committee_acronym","parliament_number","session_number","date_change","position","first_name","last_name","full_name"
"1.1","SAAN","38","1","2004-10-21","Member","Bernard","Cleary","Bernard Cleary"
"1.2","SAAN","38","1","2004-10-21","Member","Jeremy","Harrison","Jeremy Harrison"
"1.3","SAAN","38","1","2004-10-21","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"1.4","SAAN","38","1","2004-10-21","Member","Pat","Martin","Pat Martin"
"3.1","SAAN","38","1","2005-10-18","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"3.2","SAAN","38","1","2005-10-18","Member","Jeremy","Harrison","Jeremy Harrison"
"3.3","SAAN","38","1","2005-10-18","Member","Pat","Martin","Pat Martin"
"3.4","SAAN","38","1","2005-10-18","Member","Serge","Ménard","Serge Ménard"
"4.1","SAAN","38","1","2005-11-29","Chair","Lloyd","St. Amand","Lloyd St. Amand"
"4.2","SAAN","38","1","2005-11-29","Member","Jeremy","Harrison","Jeremy Harrison"
"4.3","SAAN","38","1","2005-11-29","Member","Pat","Martin","Pat Martin"
"4.4","SAAN","38","1","2005-11-29","Member","Serge","Ménard","Serge Ménard"
"5.1","SAAN","39","1","2006-05-11","Chair","Colin","Mayes","Colin Mayes"
"5.2","SAAN","39","1","2006-05-11","Member","Jean","Crowder","Jean Crowder"
"5.3","SAAN","39","1","2006-05-11","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"5.4","SAAN","39","1","2006-05-11","Member","Marc","Lemay","Marc Lemay"
"7.1","SAAN","39","1","2006-11-01","Chair","Colin","Mayes","Colin Mayes"
"7.2","SAAN","39","1","2006-11-01","Member","Jean","Crowder","Jean Crowder"
"7.3","SAAN","39","1","2006-11-01","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"7.4","SAAN","39","1","2006-11-01","Member","Marc","Lemay","Marc Lemay"
"8.1","SAAN","39","1","2007-09-14","Chair","Colin","Mayes","Colin Mayes"
"8.2","SAAN","39","1","2007-09-14","Member","Jean","Crowder","Jean Crowder"
"8.3","SAAN","39","1","2007-09-14","Member","Nancy","Karetak-Lindell","Nancy Karetak-Lindell"
"8.4","SAAN","39","1","2007-09-14","Member","Marc","Lemay","Marc Lemay"
