"key_ID","parliament_ID","session_ID","question_ID","question_number","member_ID","member_name","constituency","event_ID","date","event"
1,"39","39-1","39-1-Q-1","Q-1",112,"Bill Casey","Cumberland—Colchester—Musquodoboit Valley",1,2006-04-04,"Notice"
2,"39","39-1","39-1-Q-1","Q-1",112,"Bill Casey","Cumberland—Colchester—Musquodoboit Valley",2,2006-05-12,"Made an Order for Return and answer tabled"
3,"39","39-1","39-1-Q-2","Q-2",188,"Wayne Easter","Malpeque",1,2006-04-04,"Notice"
4,"39","39-1","39-1-Q-2","Q-2",188,"Wayne Easter","Malpeque",2,2006-05-29,"Made an Order for Return and answer tabled"
5,"39","39-1","39-1-Q-3","Q-3",188,"Wayne Easter","Malpeque",1,2006-04-04,"Notice"
6,"39","39-1","39-1-Q-3","Q-3",188,"Wayne Easter","Malpeque",2,2006-05-19,"Answered"
7,"39","39-1","39-1-Q-4","Q-4",188,"Wayne Easter","Malpeque",1,2006-04-04,"Notice"
8,"39","39-1","39-1-Q-4","Q-4",188,"Wayne Easter","Malpeque",2,2006-10-26,"Made an Order for Return and answer tabled"
9,"39","39-1","39-1-Q-5","Q-5",188,"Wayne Easter","Malpeque",1,2006-04-04,"Notice"
10,"39","39-1","39-1-Q-5","Q-5",188,"Wayne Easter","Malpeque",2,2007-02-13,"Withdrawn"
11,"39","39-1","39-1-Q-6","Q-6",85,"Garry Breitkreuz","Yorkton—Melville",1,2006-04-04,"Notice"
12,"39","39-1","39-1-Q-6","Q-6",85,"Garry Breitkreuz","Yorkton—Melville",2,2006-05-12,"Answered"
13,"39","39-1","39-1-Q-7","Q-7",85,"Garry Breitkreuz","Yorkton—Melville",1,2006-04-04,"Notice"
14,"39","39-1","39-1-Q-7","Q-7",85,"Garry Breitkreuz","Yorkton—Melville",2,2006-05-12,"Answered"
15,"39","39-1","39-1-Q-8","Q-8",469,"Gerry Ritz","Battlefords—Lloydminster",1,2006-04-05,"Notice"
16,"39","39-1","39-1-Q-8","Q-8",469,"Gerry Ritz","Battlefords—Lloydminster",2,2006-05-12,"Answered"
17,"39","39-1","39-1-Q-9","Q-9",120,"Chris Charlton","Hamilton Mountain",1,2006-04-20,"Notice"
18,"39","39-1","39-1-Q-9","Q-9",120,"Chris Charlton","Hamilton Mountain",2,2006-06-05,"Made an Order for Return and answer tabled"
19,"39","39-1","39-1-Q-10","Q-10",204,"Joe Fontana","London North Centre",1,2006-04-20,"Notice"
20,"39","39-1","39-1-Q-10","Q-10",204,"Joe Fontana","London North Centre",2,2006-10-16,"Made an Order for Return and answer tabled"
21,"39","39-1","39-1-Q-11","Q-11",59,"Dawn Black","New Westminster—Coquitlam",1,2006-04-20,"Notice"
22,"39","39-1","39-1-Q-11","Q-11",59,"Dawn Black","New Westminster—Coquitlam",2,2006-06-05,"Answered"
23,"39","39-1","39-1-Q-12","Q-12",59,"Dawn Black","New Westminster—Coquitlam",1,2006-04-20,"Notice"
24,"39","39-1","39-1-Q-12","Q-12",59,"Dawn Black","New Westminster—Coquitlam",2,2006-06-05,"Answered"
25,"39","39-1","39-1-Q-13","Q-13",59,"Dawn Black","New Westminster—Coquitlam",1,2006-04-24,"Notice"
26,"39","39-1","39-1-Q-13","Q-13",59,"Dawn Black","New Westminster—Coquitlam",2,2006-06-07,"Made an Order for Return and answer tabled"
27,"39","39-1","39-1-Q-13","Q-13",59,"Dawn Black","New Westminster—Coquitlam",3,2007-03-19,"Made an Order for Return and revised answer tabled"
28,"39","39-1","39-1-Q-14","Q-14",496,"Bill Siksay","Burnaby—Douglas",1,2006-04-25,"Notice"
29,"39","39-1","39-1-Q-14","Q-14",496,"Bill Siksay","Burnaby—Douglas",2,2006-06-07,"Answered"
30,"39","39-1","39-1-Q-15","Q-15",496,"Bill Siksay","Burnaby—Douglas",1,2006-04-25,"Notice"
31,"39","39-1","39-1-Q-15","Q-15",496,"Bill Siksay","Burnaby—Douglas",2,2006-06-07,"Answered"
