"MEMBERS’ ROLES AND COMMITTEE MEMBERSHIPS AS OF 2019.09.05",

SPEAKER AND OTHER PRESIDING OFFICERS
"Name","Title",
"Regan, Geoff (Hon.)","Speaker of the House",
"Stanton, Bruce","Deputy Speaker and Chair of the Committees of the Whole",
"Hughes, Carol","Deputy Chair Of Committees of the Whole",
"Rota, Anthony","Assistant Deputy Chair Of Committees of the Whole",


BOARD OF INTERNAL ECONOMY
"Name","Title",
"Regan, Geoff (Hon.)","Board of Internal Economy Chair",
"Bergen, Candice (Hon.)","Board of Internal Economy Member",
"Chagger, Bardish (Hon.)","Board of Internal Economy Member",
"Holland, Mark (Hon.)","Board of Internal Economy Member",
"Julian, Peter","Board of Internal Economy Member",
"Rodriguez, Pablo (Hon.)","Board of Internal Economy Member",
"Strahl, Mark","Board of Internal Economy Member",


HOUSE OFFICERS
"Name","Title","Political Affiliation",
"Regan, Geoff (Hon.)","Speaker","Liberal",
"Stanton, Bruce","Deputy Speaker and Chair of Committees of the Whole","Conservative",
"Hughes, Carol","Assistant Deputy Speaker and Deputy Chair of Committees of the Whole","NDP",
"Rota, Anthony","Assistant Deputy Speaker and Assistant Deputy Chair of Committees of the Whole","Liberal",
"Scheer, Andrew (Hon.)","Leader of the Conservative Party of Canada","Conservative",
"Singh, Jagmeet","Leader of the New Democratic Party","NDP",
"Trudeau, Justin (Right Hon.)","Leader of the Liberal Party","Liberal",
"Bergen, Candice (Hon.)","House Leader of the Official Opposition","Conservative",
"Julian, Peter","House Leader of the New Democratic Party","NDP",
"Brosseau, Ruth Ellen","Whip of the New Democratic Party","NDP",
"Holland, Mark (Hon.)","Chief Government Whip","Liberal",
"Strahl, Mark","Chief Opposition Whip","Conservative",
"Dubé, Matthew","Caucus Chair","NDP",
"Scarpaleggia, Francis","Caucus Chair","Liberal",
"Sweet, David","Caucus Chair","Conservative",


MEMBERS OF THE HOUSE OF COMMONS
"Name","Constituency","Province","Political Affiliation",
"Aboultaif, Ziad","Edmonton Manning","Alberta","Conservative",
"Albas, Dan","Central Okanagan—Similkameen—Nicola","British Columbia","Conservative",
"Albrecht, Harold","Kitchener—Conestoga","Ontario","Conservative",
"Aldag, John","Cloverdale—Langley City","British Columbia","Liberal",
"Alghabra, Omar","Mississauga Centre","Ontario","Liberal",
"Alleslev, Leona","Aurora—Oak Ridges—Richmond Hill","Ontario","Conservative",
"Allison, Dean","Niagara West","Ontario","Conservative",
"Amos, William","Pontiac","Quebec","Liberal",
"Anandasangaree, Gary","Scarborough—Rouge Park","Ontario","Liberal",
"Anderson, David","Cypress Hills—Grasslands","Saskatchewan","Conservative",
"Angus, Charlie","Timmins—James Bay","Ontario","NDP",
"Arnold, Mel","North Okanagan—Shuswap","British Columbia","Conservative",
"Arseneault, René","Madawaska—Restigouche","New Brunswick","Liberal",
"Arya, Chandra","Nepean","Ontario","Liberal",
"Ashton, Niki","Churchill—Keewatinook Aski","Manitoba","NDP",
"Aubin, Robert","Trois-Rivières","Quebec","NDP",
"Ayoub, Ramez","Thérèse-De Blainville","Quebec","Liberal",
"Badawey, Vance","Niagara Centre","Ontario","Liberal",
"Bagnell, Larry (Hon.)","Yukon","Yukon","Liberal",
"Bains, Navdeep (Hon.)","Mississauga—Malton","Ontario","Liberal",
"Barlow, John","Foothills","Alberta","Conservative",
"Barrett, Michael","Leeds—Grenville—Thousand Islands and Rideau Lakes","Ontario","Conservative",
"Barsalou-Duval, Xavier","Pierre-Boucher—Les Patriotes—Verchères","Quebec","Bloc Québécois",
"Baylis, Frank","Pierrefonds—Dollard","Quebec","Liberal",
"Beaulieu, Mario","La Pointe-de-l'Île","Quebec","Bloc Québécois",
"Beech, Terry","Burnaby North—Seymour","British Columbia","Liberal",
"Bendayan, Rachel","Outremont","Quebec","Liberal",
"Bennett, Carolyn (Hon.)","Toronto—St. Paul's","Ontario","Liberal",
"Benson, Sheri","Saskatoon West","Saskatchewan","NDP",
"Benzen, Bob","Calgary Heritage","Alberta","Conservative",
"Bergen, Candice (Hon.)","Portage—Lisgar","Manitoba","Conservative",
"Bernier, Maxime (Hon.)","Beauce","Quebec","People's Party",
"Berthold, Luc","Mégantic—L'Érable","Quebec","Conservative",
"Bezan, James","Selkirk—Interlake—Eastman","Manitoba","Conservative",
"Bibeau, Marie-Claude (Hon.)","Compton—Stanstead","Quebec","Liberal",
"Bittle, Chris","St. Catharines","Ontario","Liberal",
"Blaikie, Daniel","Elmwood—Transcona","Manitoba","NDP",
"Blair, Bill (Hon.)","Scarborough Southwest","Ontario","Liberal",
"Blaney, Rachel","North Island—Powell River","British Columbia","NDP",
"Blaney, Steven (Hon.)","Bellechasse—Les Etchemins—Lévis","Quebec","Conservative",
"Block, Kelly","Carlton Trail—Eagle Creek","Saskatchewan","Conservative",
"Boissonnault, Randy","Edmonton Centre","Alberta","Liberal",
"Bossio, Mike","Hastings—Lennox and Addington","Ontario","Liberal",
"Boucher, Sylvie","Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix","Quebec","Conservative",
"Boudrias, Michel","Terrebonne","Quebec","Bloc Québécois",
"Boulerice, Alexandre","Rosemont—La Petite-Patrie","Quebec","NDP",
"Boutin-Sweet, Marjolaine","Hochelaga","Quebec","NDP",
"Brassard, John","Barrie—Innisfil","Ontario","Conservative",
"Bratina, Bob","Hamilton East—Stoney Creek","Ontario","Liberal",
"Breton, Pierre","Shefford","Quebec","Liberal",
"Brosseau, Ruth Ellen","Berthier—Maskinongé","Quebec","NDP",
"Caesar-Chavannes, Celina","Whitby","Ontario","Independent",
"Calkins, Blaine","Red Deer—Lacombe","Alberta","Conservative",
"Cannings, Richard","South Okanagan—West Kootenay","British Columbia","NDP",
"Caron, Guy","Rimouski-Neigette—Témiscouata—Les Basques","Quebec","NDP",
"Carr, Jim (Hon.)","Winnipeg South Centre","Manitoba","Liberal",
"Carrie, Colin","Oshawa","Ontario","Conservative",
"Casey, Bill","Cumberland—Colchester","Nova Scotia","Liberal",
"Casey, Sean","Charlottetown","Prince Edward Island","Liberal",
"Chagger, Bardish (Hon.)","Waterloo","Ontario","Liberal",
"Champagne, François-Philippe (Hon.)","Saint-Maurice—Champlain","Quebec","Liberal",
"Chen, Shaun","Scarborough North","Ontario","Liberal",
"Chong, Michael (Hon.)","Wellington—Halton Hills","Ontario","Conservative",
"Choquette, François","Drummond","Quebec","NDP",
"Christopherson, David","Hamilton Centre","Ontario","NDP",
"Clarke, Alupa","Beauport—Limoilou","Quebec","Conservative",
"Clement, Tony (Hon.)","Parry Sound—Muskoka","Ontario","Independent",
"Cooper, Michael","St. Albert—Edmonton","Alberta","Conservative",
"Cormier, Serge","Acadie—Bathurst","New Brunswick","Liberal",
"Cullen, Nathan","Skeena—Bulkley Valley","British Columbia","NDP",
"Cuzner, Rodger","Cape Breton—Canso","Nova Scotia","Liberal",
"Dabrusin, Julie","Toronto—Danforth","Ontario","Liberal",
"Damoff, Pam","Oakville North—Burlington","Ontario","Liberal",
"Davidson, Scot","York—Simcoe","Ontario","Conservative",
"Davies, Don","Vancouver Kingsway","British Columbia","NDP",
"DeCourcey, Matt","Fredericton","New Brunswick","Liberal",
"Deltell, Gérard","Louis-Saint-Laurent","Quebec","Conservative",
"Dhaliwal, Sukh","Surrey—Newton","British Columbia","Liberal",
"Dhillon, Anju","Dorval—Lachine—LaSalle","Quebec","Liberal",
"Diotte, Kerry","Edmonton Griesbach","Alberta","Conservative",
"Doherty, Todd","Cariboo—Prince George","British Columbia","Conservative",
"Donnelly, Fin","Port Moody—Coquitlam","British Columbia","NDP",
"Dreeshen, Earl","Red Deer—Mountain View","Alberta","Conservative",
"Drouin, Francis","Glengarry—Prescott—Russell","Ontario","Liberal",
"Dubé, Matthew","Beloeil—Chambly","Quebec","NDP",
"Dubourg, Emmanuel","Bourassa","Quebec","Liberal",
"Duclos, Jean-Yves (Hon.)","Québec","Quebec","Liberal",
"Duguid, Terry","Winnipeg South","Manitoba","Liberal",
"Duncan, Kirsty (Hon.)","Etobicoke North","Ontario","Liberal",
