Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,10/19/15 0:00,
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,10/19/15 0:00,
,Harold,Albrecht,Kitchener—Conestoga,Ontario,Conservative,10/19/15 0:00,
,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,10/19/15 0:00,
,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,10/19/15 0:00,
,Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,10/19/15 0:00,
,Dean,Allison,Niagara West,Ontario,Conservative,10/19/15 0:00,
Hon.,Rona,Ambrose,Sturgeon River—Parkland,Alberta,Conservative,10/19/15 0:00,7/4/17 23:59
,William,Amos,Pontiac,Quebec,Liberal,10/19/15 0:00,
,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,10/19/15 0:00,
,David,Anderson,Cypress Hills—Grasslands,Saskatchewan,Conservative,10/19/15 0:00,
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,10/19/15 0:00,
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,10/19/15 0:00,
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,10/19/15 0:00,
,Chandra,Arya,Nepean,Ontario,Liberal,10/19/15 0:00,
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,10/19/15 0:00,
,Robert,Aubin,Trois-Rivières,Quebec,NDP,10/19/15 0:00,
,Ramez,Ayoub,Thérèse-De Blainville,Quebec,Liberal,10/19/15 0:00,
,Vance,Badawey,Niagara Centre,Ontario,Liberal,10/19/15 0:00,
Hon.,Larry,Bagnell,Yukon,Yukon,Liberal,10/19/15 0:00,
Hon.,Navdeep,Bains,Mississauga—Malton,Ontario,Liberal,10/19/15 0:00,
,John,Barlow,Foothills,Alberta,Conservative,10/19/15 0:00,
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,12/3/18 0:00,
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,10/19/15 0:00,
,Frank,Baylis,Pierrefonds—Dollard,Quebec,Liberal,10/19/15 0:00,
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,10/19/15 0:00,
,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,10/19/15 0:00,
Hon.,Mauril,Bélanger,Ottawa—Vanier,Ontario,Liberal,10/19/15 0:00,8/15/16 23:59
,Rachel,Bendayan,Outremont,Quebec,Liberal,2/25/19 0:00,
Hon.,Carolyn,Bennett,Toronto—St. Paul's,Ontario,Liberal,10/19/15 0:00,
,Sheri,Benson,Saskatoon West,Saskatchewan,NDP,10/19/15 0:00,
,Bob,Benzen,Calgary Heritage,Alberta,Conservative,4/3/17 0:00,
Hon.,Candice,Bergen,Portage—Lisgar,Manitoba,Conservative,10/19/15 0:00,
Hon.,Maxime,Bernier,Beauce,Quebec,People's Party,10/19/15 0:00,
,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,10/19/15 0:00,
,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,10/19/15 0:00,
Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,10/19/15 0:00,
,Chris,Bittle,St. Catharines,Ontario,Liberal,10/19/15 0:00,
,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP,10/19/15 0:00,
Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal,10/19/15 0:00,
,Rachel,Blaney,North Island—Powell River,British Columbia,NDP,10/19/15 0:00,
Hon.,Steven,Blaney,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,10/19/15 0:00,
,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,10/19/15 0:00,
,Randy,Boissonnault,Edmonton Centre,Alberta,Liberal,10/19/15 0:00,
,Mike,Bossio,Hastings—Lennox and Addington,Ontario,Liberal,10/19/15 0:00,
,Sylvie,Boucher,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Conservative,10/19/15 0:00,
,Michel,Boudrias,Terrebonne,Quebec,Bloc Québécois,10/19/15 0:00,
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,10/19/15 0:00,
,Marjolaine,Boutin-Sweet,Hochelaga,Quebec,NDP,10/19/15 0:00,
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,10/19/15 0:00,
,Bob,Bratina,Hamilton East—Stoney Creek,Ontario,Liberal,10/19/15 0:00,
,Pierre,Breton,Shefford,Quebec,Liberal,10/19/15 0:00,
Hon.,Scott,Brison,Kings—Hants,Nova Scotia,Liberal,10/19/15 0:00,2/10/19 23:59
