"Order of Precedence","Honorific Title","First Name","Last Name","Title","Start Date","End Date","Province / Territory",
"1","Right Hon.","Stephen","Harper","Prime Minister","2/6/2006 12:00:00 AM","11/4/2015 10:44:59 AM","Alberta",
"2","Hon.","Bernard","Valcourt","Minister of State (Atlantic Canada Opportunities Agency) (La Francophonie)","5/18/2011 11:01:00 AM","2/21/2013 11:59:59 PM","New Brunswick",
"2","Hon.","Bernard","Valcourt","Associate Minister of National Defence","7/4/2012 5:00:00 PM","2/21/2013 11:59:59 PM","New Brunswick",
"2","Hon.","Bernard","Valcourt","Minister of Aboriginal Affairs and Northern Development","2/22/2013 12:00:00 AM","11/4/2015 10:44:59 AM","New Brunswick",
"3","Hon.","Rob","Nicholson","Leader of the Government in the House of Commons","2/6/2006 12:00:00 AM","1/3/2007 11:59:59 PM","Ontario",
"3","Hon.","Rob","Nicholson","Minister for Democratic Reform","2/6/2006 12:00:00 AM","1/3/2007 11:59:59 PM","Ontario",
"3","Hon.","Rob","Nicholson","Minister of Justice","1/4/2007 12:00:00 AM","7/14/2013 11:59:59 PM","Ontario",
"3","Hon.","Rob","Nicholson","Attorney General of Canada","1/4/2007 12:00:00 AM","7/14/2013 11:59:59 PM","Ontario",
"3","Hon.","Rob","Nicholson","Minister of National Defence","7/15/2013 11:01:00 AM","2/9/2015 11:59:59 AM","Ontario",
"3","Hon.","Rob","Nicholson","Minister of Foreign Affairs","2/9/2015 12:00:00 PM","11/4/2015 10:44:59 AM","Ontario",
"4","Hon.","Peter","MacKay","Minister of Foreign Affairs","2/6/2006 12:00:00 AM","8/13/2007 11:59:59 PM","Nova Scotia",
"4","Hon.","Peter","MacKay","Minister of the Atlantic Canada Opportunities Agency","2/6/2006 12:00:00 AM","8/13/2007 11:59:59 PM","Nova Scotia",
"4","Hon.","Peter","MacKay","Minister of National Defence","8/14/2007 4:00:00 PM","7/14/2013 11:59:59 PM","Nova Scotia",
"4","Hon.","Peter","MacKay","Minister of the Atlantic Canada Opportunities Agency","8/14/2007 4:00:00 PM","10/29/2008 11:59:59 PM","Nova Scotia",
"4","Hon.","Peter","MacKay","Minister for the Atlantic Gateway","10/30/2008 12:00:00 AM","1/19/2010 11:00:59 AM","Nova Scotia",
"4","Hon.","Peter","MacKay","Minister of Justice","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Nova Scotia",
"4","Hon.","Peter","MacKay","Attorney General of Canada","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Nova Scotia",
"5","Hon.","Rona","Ambrose","Minister of the Environment","2/6/2006 12:00:00 AM","1/3/2007 11:59:59 PM","Alberta",
"5","Hon.","Rona","Ambrose","President of the Queen's Privy Council for Canada","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Alberta",
"5","Hon.","Rona","Ambrose","Minister of Intergovernmental Affairs","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Alberta",
"5","Hon.","Rona","Ambrose","Minister of Western Economic Diversification","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Alberta",
"5","Hon.","Rona","Ambrose","Minister of Labour","10/30/2008 12:00:00 AM","1/19/2010 11:00:00 AM","Alberta",
"5","Hon.","Rona","Ambrose","Minister of Public Works and Government Services","1/19/2010 11:01:00 AM","7/14/2013 11:59:59 PM","Alberta",
"5","Hon.","Rona","Ambrose","Minister for Status of Women","4/9/2010 12:00:00 AM","7/14/2013 11:59:59 PM","Alberta",
"5","Hon.","Rona","Ambrose","Minister of Health","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Alberta",
"6","Hon.","Diane","Finley","Minister of Human Resources and Social Development","2/6/2006 12:00:00 AM","1/3/2007 11:59:59 PM","Ontario",
"6","Hon.","Diane","Finley","Minister of Citizenship and Immigration","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Ontario",
"6","Hon.","Diane","Finley","Minister of Human Resources and Skills Development","10/30/2008 12:00:00 AM","7/14/2013 11:59:59 PM","Ontario",
"6","Hon.","Diane","Finley","Minister of Public Works and Government Services","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"7","Hon.","Tony","Clement","Minister of Health","2/6/2006 12:00:00 AM","10/29/2008 11:59:59 PM","Ontario",
"7","Hon.","Tony","Clement","Minister for the Federal Economic Development Initiative for Northern Ontario","2/6/2006 12:00:00 AM","10/29/2008 11:59:59 PM","Ontario",
"7","Hon.","Tony","Clement","Minister of Industry","10/30/2008 12:00:00 AM","5/17/2011 11:59:59 PM","Ontario",
"7","Hon.","Tony","Clement","Minister for the Federal Economic Development Initiative for Northern Ontario","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Ontario",
"7","Hon.","Tony","Clement","President of the Treasury Board","5/18/2011 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"8","Hon.","Peter","Van Loan","President of the Queen's Privy Council for Canada","11/27/2006 11:59:59 PM","1/3/2007 11:59:59 PM","Ontario",
"8","Hon.","Peter","Van Loan","Minister of Intergovernmental Affairs","11/27/2006 11:59:59 PM","1/3/2007 11:59:59 PM","Ontario",
"8","Hon.","Peter","Van Loan","Minister for Sport","11/27/2006 11:59:59 PM","1/3/2007 11:59:59 PM","Ontario",
"8","Hon.","Peter","Van Loan","Leader of the Government in the House of Commons","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Ontario",
"8","Hon.","Peter","Van Loan","Minister for Democratic Reform","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Ontario",
"8","Hon.","Peter","Van Loan","Minister of Public Safety","10/30/2008 12:00:00 AM","1/19/2010 11:00:00 AM","Ontario",
"8","Hon.","Peter","Van Loan","Minister of International Trade","1/19/2010 11:00:00 AM","5/17/2011 11:59:59 PM","Ontario",
"8","Hon.","Peter","Van Loan","Leader of the Government in the House of Commons","5/18/2011 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"9","Hon.","Jason","Kenney","Secretary of State (Multiculturalism and Canadian Identity)","1/4/2007 12:00:00 AM","10/29/2008 11:59:59 PM","Alberta",
"9","Hon.","Jason","Kenney","Minister of Citizenship, Immigration and Multiculturalism","10/30/2008 12:00:00 AM","7/14/2013 11:59:59 PM","Alberta",
"9","Hon.","Jason","Kenney","Minister of Employment and Social Development","7/15/2013 11:01:00 AM","2/9/2015 11:59:59 AM","Alberta",
"9","Hon.","Jason","Kenney","Minister for Multiculturalism","8/16/2013 12:00:00 AM","11/4/2015 10:44:59 AM","Alberta",
"9","Hon.","Jason","Kenney","Minister of National Defence","2/9/2015 12:00:00 PM","11/4/2015 10:44:59 AM","Alberta",
"10","Hon.","Gerry","Ritz","Secretary of State (Small Business and Tourism)","1/4/2007 12:00:00 AM","8/13/2007 11:59:59 PM","Saskatchewan",
"10","Hon.","Gerry","Ritz","Minister of Agriculture and Agri-Food","8/14/2007 4:00:00 PM","11/4/2015 10:44:59 AM","Saskatchewan",
"10","Hon.","Gerry","Ritz","Minister for the Canadian Wheat Board","8/14/2007 4:00:00 PM","7/14/2013 11:59:59 PM","Saskatchewan",
"11","Hon.","Christian","Paradis","Secretary of State (Agriculture)","1/4/2007 12:00:00 AM","6/24/2008 11:59:59 PM","Quebec",
"11","Hon.","Christian","Paradis","Minister of Public Works and Government Services","6/25/2008 11:01:00 AM","10/29/2008 11:59:59 PM","Quebec",
"11","Hon.","Christian","Paradis","Secretary of State (Agriculture)","6/25/2008 11:01:00 AM","10/29/2008 11:59:59 PM","Quebec",
"11","Hon.","Christian","Paradis","Minister of Natural Resources","1/19/2010 11:01:00 AM","5/17/2011 11:59:59 PM","Quebec",
"11","Hon.","Christian","Paradis","Minister of Industry","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Quebec",
"11","Hon.","Christian","Paradis","Minister of State (Agriculture)","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Quebec",
"11","Hon.","Christian","Paradis","Minister of International Development","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Quebec",
"11","Hon.","Christian","Paradis","Minister for La Francophonie","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Quebec",
"11","Hon.","Christian","Paradis","Minister of Public Works and Government Services","10/30/2008 12:00:00 AM","1/19/2010 11:00:00 AM","Quebec",
"12","Hon.","James","Moore","Secretary of State (Asia-Pacific Gateway) (2010 Olympics) (Official Languages)","6/25/2008 11:01:00 AM","10/29/2008 11:59:59 PM","British Columbia",
"12","Hon.","James","Moore","Minister of Canadian Heritage and Official Languages","10/30/2008 12:00:00 AM","7/14/2013 11:59:59 PM","British Columbia",
"12","Hon.","James","Moore","Minister of Industry","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","British Columbia",
"13","Hon.","Denis","Lebel","Minister of State (Economic Development Agency of Canada for the Regions of Quebec)","10/30/2008 12:00:00 AM","5/17/2011 11:59:59 PM","Quebec",
"13","Hon.","Denis","Lebel","Minister of Transport, Infrastructure and Communities","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Quebec",
"13","Hon.","Denis","Lebel","Minister of the Economic Development Agency of Canada for the Regions of Quebec","5/18/2011 11:01:00 AM","11/4/2015 10:44:59 AM","Quebec",
"13","Hon.","Denis","Lebel","Minister of Intergovernmental Affairs","3/19/2013 12:00:01 AM","7/14/2013 11:59:59 PM","Quebec",
"13","Hon.","Denis","Lebel","President of the Queen's Privy Council for Canada","3/19/2013 12:00:01 AM","11/4/2015 10:44:59 AM","Quebec",
"13","Hon.","Denis","Lebel","Minister of Infrastructure, Communities and Intergovernmental Affairs","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Quebec",
"14","Hon.","Leona","Aglukkaq","Minister of Health","10/30/2008 12:00:00 AM","7/14/2013 11:59:59 PM","Nunavut",
"14","Hon.","Leona","Aglukkaq","Minister of the Canadian Northern Economic Development Agency","5/18/2011 11:01:00 AM","11/4/2015 10:44:59 AM","Nunavut",
"14","Hon.","Leona","Aglukkaq","Minister for the Arctic Council","8/28/2012 12:00:00 AM","11/4/2015 10:44:59 AM","Nunavut",
"14","Hon.","Leona","Aglukkaq","Minister of the Environment","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Nunavut",
"15","Hon.","Lisa","Raitt","Minister of Natural Resources","10/30/2008 12:00:00 AM","1/19/2010 11:00:00 AM","Ontario",
"15","Hon.","Lisa","Raitt","Minister of Labour","1/19/2010 11:01:00 AM","7/14/2013 11:59:59 PM","Ontario",
"15","Hon.","Lisa","Raitt","Minister of Transport","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"16","Hon.","Gail","Shea","Minister of Fisheries and Oceans","10/30/2008 12:00:00 AM","5/17/2011 11:59:59 PM","Prince Edward Island",
"16","Hon.","Gail","Shea","Minister of National Revenue","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Prince Edward Island",
"16","Hon.","Gail","Shea","Minister for the Atlantic Canada Opportunities Agency","2/22/2013 12:00:00 AM","7/14/2013 11:59:59 PM","Prince Edward Island",
"16","Hon.","Gail","Shea","Minister of Fisheries and Oceans","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Prince Edward Island",
"17","Hon.","Julian","Fantino","Minister of State (Seniors)","1/4/2011 2:00:00 PM","5/17/2011 11:59:59 PM","Ontario",
"17","Hon.","Julian","Fantino","Associate Minister of National Defence","5/18/2011 11:01:00 AM","7/4/2012 4:59:59 PM","Ontario",
"17","Hon.","Julian","Fantino","Minister of International Cooperation","7/4/2012 5:00:00 PM","7/14/2013 11:59:59 PM","Ontario",
"17","Hon.","Julian","Fantino","Minister of Veterans Affairs","7/15/2013 11:01:00 AM","1/5/2015 11:59:59 AM","Ontario",
"17","Hon.","Julian","Fantino","Associate Minister of National Defence","1/5/2015 12:00:00 PM","11/4/2015 10:44:59 AM","Ontario",
"18","Hon.","Steven","Blaney","Minister of Veterans Affairs","5/18/2011 11:00:00 AM","7/14/2013 11:59:59 PM","Quebec",
"18","Hon.","Steven","Blaney","Minister for La Francophonie","2/22/2013 12:00:00 AM","7/14/2013 11:59:59 PM","Quebec",
"18","Hon.","Steven","Blaney","Minister of Public Safety and Emergency Preparedness","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Quebec",
"19","Hon.","Ed","Fast","Minister of International Trade","5/18/2011 11:01:00 AM","11/4/2015 10:44:59 AM","British Columbia",
"19","Hon.","Ed","Fast","Minister for the Asia-Pacific Gateway","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","British Columbia",
"20","Hon.","Joe","Oliver","Minister of Natural Resources","5/18/2011 11:01:00 AM","3/18/2014 11:59:59 PM","Ontario",
"20","Hon.","Joe","Oliver","Minister of Finance","3/19/2014 12:00:00 AM","11/4/2015 10:44:59 AM","Ontario",
"21","Hon.","Kerry-Lynne D.","Findlay","Associate Minister of National Defence","2/22/2013 12:00:00 AM","7/14/2013 11:59:59 PM","British Columbia",
"21","Hon.","Kerry-Lynne D.","Findlay","Minister of National Revenue","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","British Columbia",
"22","Hon.","Pierre","Poilievre","Minister of State (Democratic Reform)","7/15/2013 11:01:00 AM","2/9/2015 11:59:59 AM","Ontario",
"22","Hon.","Pierre","Poilievre","Minister of Employment and Social Development","2/9/2015 12:00:00 PM","11/4/2015 10:44:59 AM","Ontario",
"22","Hon.","Pierre","Poilievre","Minister for Democratic Reform","2/9/2015 12:00:00 PM","11/4/2015 10:44:59 AM","Ontario",
"23","Hon.","Shelly","Glover","Minister of Canadian Heritage and Official Languages","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Manitoba",
"24","Hon.","Chris","Alexander","Minister of Citizenship and Immigration","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"25","Hon.","K. Kellie","Leitch","Minister of Labour","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"25","Hon.","K. Kellie","Leitch","Minister of Status of Women","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"26","Hon.","Greg","Rickford","Minister of State (Science and Technology, and Federal Economic Development Initiative for Northern Ontario)","7/15/2013 11:01:00 AM","3/18/2014 11:59:59 PM","Ontario",
"26","Hon.","Greg","Rickford","Minister for the Federal Economic Development Initiative for Northern Ontario","3/19/2014 12:00:00 AM","11/4/2015 10:44:59 AM","Ontario",
"26","Hon.","Greg","Rickford","Minister of Natural Resources","3/19/2014 12:00:00 AM","11/4/2015 10:44:59 AM","Ontario",
"27","Hon.","Erin","O'Toole","Minister of Veterans Affairs","1/5/2015 12:00:00 PM","11/4/2015 10:44:59 AM","Ontario",
"28","Hon.","Maxime","Bernier","Minister of Industry","2/6/2006 12:00:00 AM","8/13/2007 11:59:59 PM","Quebec",
"28","Hon.","Maxime","Bernier","Minister of Foreign Affairs","8/14/2007 4:00:00 PM","5/26/2008 9:30:59 PM","Quebec",
"28","Hon.","Maxime","Bernier","Minister of State (Small Business and Tourism)","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Quebec",
"28","Hon.","Maxime","Bernier","Minister of State (Small Business and Tourism, and Agriculture)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Quebec",
"29","Hon.","Lynne","Yelich","Minister of State (Western Economic Diversification)","10/30/2008 12:00:00 AM","7/14/2013 11:59:59 PM","Saskatchewan",
"29","Hon.","Lynne","Yelich","Minister of State (Foreign Affairs and Consular)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Saskatchewan",
"30","Hon.","Gary","Goodyear","Minister of State (Science and Technology)","10/30/2008 12:00:00 AM","8/24/2009 11:59:59 PM","Ontario",
"30","Hon.","Gary","Goodyear","Minister of State (Science and Technology) (Federal Economic Development Agency for Southern Ontario)","8/25/2009 12:00:00 AM","7/14/2013 11:59:59 PM","Ontario",
"30","Hon.","Gary","Goodyear","Minister of State (Federal Economic Development Agency for Southern Ontario)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Ontario",
"31","Hon.","Rob","Moore","Minister of State (Small Business and Tourism)","1/19/2010 11:01:00 AM","5/17/2011 11:59:59 PM","New Brunswick",
"31","Hon.","Rob","Moore","Minister of State (Atlantic Canada Opportunities Agency)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","New Brunswick",
"32","Hon.","John","Duncan","Minister of Indian Affairs and Northern Development","8/6/2010 10:30:00 AM","5/17/2011 11:59:59 PM","British Columbia",
"32","Hon.","John","Duncan","Federal Interlocutor for Métis and Non-Status Indians","8/6/2010 10:30:00 AM","5/17/2011 11:59:59 PM","British Columbia",
"32","Hon.","John","Duncan","Minister of the Canadian Northern Economic Development Agency","8/6/2010 10:30:00 AM","5/17/2011 11:59:59 PM","British Columbia",
"32","Hon.","John","Duncan","Minister of Aboriginal Affairs and Northern Development","5/18/2011 11:01:00 AM","2/15/2013 11:59:59 PM","British Columbia",
"32","Hon.","John","Duncan","Minister of State","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","British Columbia",
"33","Hon.","Tim","Uppal","Minister of State (Democratic Reform)","5/18/2011 11:01:00 AM","7/14/2013 11:59:59 PM","Alberta",
"33","Hon.","Tim","Uppal","Minister of State (Multiculturalism)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Alberta",
"34","Hon.","Alice","Wong","Minister of State (Seniors)","5/18/2011 11:00:00 AM","11/4/2015 10:44:59 AM","British Columbia",
"35","Hon.","Bal","Gosal","Minister of State (Sport)","5/18/2011 11:00:00 AM","11/4/2015 10:44:59 AM","Ontario",
"36","Hon.","Kevin","Sorenson","Minister of State (Finance)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Alberta",
"37","Hon.","Candice","Bergen","Minister of State (Social Development)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Manitoba",
"38","Hon.","Michelle","Rempel","Minister of State (Western Economic Diversification)","7/15/2013 11:01:00 AM","11/4/2015 10:44:59 AM","Alberta",
"39","Hon.","Ed","Holder","Minister of State (Science and Technology)","3/19/2014 12:00:00 AM","11/4/2015 10:44:59 AM","Ontario",


