"Order of Precedence","Honorific Title","First Name","Last Name","Title","Start Date","End Date","Province / Territory",
"1","Right Hon.","Paul","Martin","Prime Minister","12/12/2003 12:00:00 AM","2/6/2006 12:00:01 AM","Quebec",
"2","Hon.","Jacob","Austin","Leader of the Government in the Senate","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","",
"3","Hon.","Jean","Lapierre","Minister of Transport","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"4","Hon.","Ralph","Goodale","Minister of Finance","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Saskatchewan",
"5","Hon.","Anne","McLellan","Deputy Prime Minister","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Alberta",
"5","Hon.","Anne","McLellan","Minister of Public Safety and Emergency Preparedness","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Alberta",
"6","Hon.","Lucienne","Robillard","Minister of Industry","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"6","Hon.","Lucienne","Robillard","Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"6","Hon.","Lucienne","Robillard","President of the Queen's Privy Council for Canada","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"6","Hon.","Lucienne","Robillard","Minister of Intergovernmental Affairs","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"6","Hon.","Lucienne","Robillard","Minister of Human Resources and Skills Development","1/14/2005 12:00:00 AM","1/14/2005 11:59:59 PM","Quebec",
"6","Hon.","Lucienne","Robillard","Minister of Human Resources and Skills Development","1/14/2005 12:00:00 AM","5/17/2005 3:00:00 PM","Quebec",
"7","Hon.","Stéphane","Dion","Minister of the Environment","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"8","Hon.","Pierre","Pettigrew","Minister of Health","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"8","Hon.","Pierre","Pettigrew","Minister of Intergovernmental Affairs","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"8","Hon.","Pierre","Pettigrew","Minister responsible for Official Languages","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"8","Hon.","Pierre","Pettigrew","Minister of Foreign Affairs","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"9","Hon.","Andy","Scott","Minister of State (Infrastructure)","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","New Brunswick",
"9","Hon.","Andy","Scott","Minister of Indian Affairs and Northern Development","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","New Brunswick",
"9","Hon.","Andy","Scott","Federal Interlocutor for Métis and Non-Status Indians","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","New Brunswick",
"10","Hon.","Jim","Peterson","Minister of International Trade","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"11","Hon.","Andy","Mitchell","Minister of Indian Affairs and Northern Development","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Ontario",
"11","Hon.","Andy","Mitchell","Minister of Agriculture and Agri-Food","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"11","Hon.","Andy","Mitchell","Minister of State (Federal Economic Development Initiative for Northern Ontario)","6/28/2005 3:00:00 PM","2/5/2006 11:59:00 PM","Ontario",
"12","Hon.","Bill","Graham","Minister of National Defence","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"12","Hon.","Bill","Graham","Minister of Foreign Affairs","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Ontario",
"13","Hon.","Albina","Guarnieri","Minister of State (Civil Preparedness)","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Ontario",
"13","Hon.","Albina","Guarnieri","Associate Minister of National Defence","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Ontario",
"13","Hon.","Albina","Guarnieri","Minister of Veterans Affairs","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"14","Hon.","Reg","Alcock","President of the Treasury Board","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Manitoba",
"14","Hon.","Reg","Alcock","Minister responsible for the Canadian Wheat Board","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Manitoba",
"15","Hon.","Geoff","Regan","Minister of Fisheries and Oceans","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Nova Scotia",
"16","Hon.","Tony","Valeri","Minister of Transport","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Ontario",
"16","Hon.","Tony","Valeri","Leader of the Government in the House of Commons","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"17","Hon.","Aileen","Carroll","Minister of International Cooperation","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"18","Hon.","Irwin","Cotler","Minister of Justice","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"18","Hon.","Irwin","Cotler","Attorney General of Canada","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"19","Hon.","Ruben","Efford","Minister of Natural Resources","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Newfoundland and Labrador",
"20","Hon.","Liza","Frulla","Minister of Social Development","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Quebec",
"20","Hon.","Liza","Frulla","Minister of Canadian Heritage","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"20","Hon.","Liza","Frulla","Minister responsible for Status of Women","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Quebec",
"21","Hon.","Joseph","Volpe","Minister of Human Resources and Skills Development","12/12/2003 12:00:00 AM","1/13/2005 11:59:59 PM","Ontario",
"21","Hon.","Joseph","Volpe","Minister of Citizenship and Immigration","1/14/2005 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"22","Hon.","Joe","Fontana","Minister of Labour and Housing","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"23","Hon.","Scott","Brison","Minister of Public Works and Government Services","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Nova Scotia",
"24","Hon.","Ujjal","Dosanjh","Minister of Health","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","British Columbia",
"25","Hon.","Ken","Dryden","Minister of Social Development","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"26","Hon.","David","Emerson","Minister of Industry","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","British Columbia",
"27","Hon.","Belinda","Stronach","Minister of Human Resources and Skills Development","5/17/2005 4:00:00 PM","2/5/2006 11:59:00 PM","Ontario",
"27","Hon.","Belinda","Stronach","Minister responsible for Democratic Renewal","5/17/2005 4:00:00 PM","2/5/2006 11:59:00 PM","Ontario",
"28","Hon.","Ethel","Blondin-Andrew","Minister of State (Children and Youth)","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Northwest Territories",
"28","Hon.","Ethel","Blondin-Andrew","Minister of State (Northern Development)","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Northwest Territories",
"29","Hon.","Raymond","Chan","Minister of State (Multiculturalism)","7/20/2004 12:00:00 AM","2/5/2006 11:59:00 PM","British Columbia",
"30","Hon.","Claudette","Bradshaw","Minister responsible for Homelessness","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","New Brunswick",
"30","Hon.","Claudette","Bradshaw","Minister of State (Human Resources Development)","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","New Brunswick",
"30","Hon.","Claudette","Bradshaw","Minister of Labour","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","New Brunswick",
"31","Hon.","John","McCallum","Minister of Veterans Affairs","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","Ontario",
"31","Hon.","John","McCallum","Minister of National Revenue","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"32","Hon.","Stephen","Owen","Minister of Public Works and Government Services","12/12/2003 12:00:00 AM","7/19/2004 11:59:59 PM","British Columbia",
"32","Hon.","Stephen","Owen","Minister of Western Economic Diversification","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","British Columbia",
"32","Hon.","Stephen","Owen","Minister of State (Sport)","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","British Columbia",
"33","Hon.","Joe","McGuire","Minister of the Atlantic Canada Opportunities Agency","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Prince Edward Island",
"34","Hon.","Mauril","Bélanger","Deputy Leader of the Government in the House of Commons","12/12/2003 12:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"34","Hon.","Mauril","Bélanger","Minister responsible for Official Languages","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
"34","Hon.","Mauril","Bélanger","Minister responsible for Democratic Reform","7/20/2004 10:00:00 AM","5/17/2005 3:00:59 PM","Ontario",
"34","Hon.","Mauril","Bélanger","Associate Minister of National Defence","7/20/2004 10:00:00 AM","2/5/2006 11:59:00 PM","Ontario",
