"Order of Precedence","Honorific Title","First Name","Last Name","Title","Start Date","End Date","Province / Territory",
"1","Right Hon.","Justin","Trudeau","Prime Minister","11/4/2015 10:45:00 AM","","Quebec",
"2","Hon.","Ralph","Goodale","Minister of Public Safety and Emergency Preparedness","11/4/2015 10:45:00 AM","","Saskatchewan",
"3","Hon.","Lawrence","MacAulay","Minister of Veterans Affairs","3/1/2019 10:30:01 AM","","Prince Edward Island",
"3","Hon.","Lawrence","MacAulay","Associate Minister of National Defence","3/1/2019 10:30:01 AM","","Prince Edward Island",
"4","Hon.","Carolyn","Bennett","Minister of Crown-Indigenous Relations","8/28/2017 1:12:00 PM","","Ontario",
"6","Hon.","Dominic","LeBlanc","Minister of Intergovernmental and Northern Affairs and Internal Trade","7/18/2018 10:00:00 AM","","New Brunswick",
"7","Hon.","Navdeep","Bains","Minister of Innovation, Science and Economic Development","11/4/2015 10:45:00 AM","","Ontario",
"8","Hon.","Bill","Morneau","Minister of Finance","11/4/2015 10:45:00 AM","","Ontario",
"9","Hon.","Chrystia","Freeland","Minister of Foreign Affairs","1/10/2017 2:54:06 PM","","Ontario",
"10","Hon.","Jean-Yves","Duclos","Minister of Families, Children and Social Development","11/4/2015 10:45:00 AM","","Quebec",
"11","Hon.","Marc","Garneau","Minister of Transport","11/4/2015 10:45:00 AM","","Quebec",
"12","Hon.","Marie-Claude","Bibeau","Minister of Agriculture and Agri-Food","3/1/2019 10:30:01 AM","","Quebec",
"13","Hon.","Jim","Carr","Minister of International Trade Diversification","7/18/2018 10:00:00 AM","","Manitoba",
"14","Hon.","Mélanie","Joly","Minister of Tourism, Official Languages and La Francophonie","7/18/2018 10:00:00 AM","","Quebec",
"15","Hon.","Diane","Lebouthillier","Minister of National Revenue","11/4/2015 10:45:00 AM","","Quebec",
"16","Hon.","Catherine","McKenna","Minister of Environment and Climate Change","11/4/2015 10:45:00 AM","","Ontario",
"17","Hon.","Harjit S.","Sajjan","Minister of National Defence","11/4/2015 10:45:00 AM","","British Columbia",
"18","Hon.","Amarjeet","Sohi","Minister of Natural Resources","7/18/2018 10:00:00 AM","","Alberta",
"19","Hon.","Maryam","Monsef","Minister for Women and Gender Equality","12/13/2018 12:00:00 AM","","Ontario",
"19","Hon.","Maryam","Monsef","Minister of International Development","3/1/2019 10:30:01 AM","","Ontario",
"20","Hon.","Carla","Qualtrough","Minister of Public Services and Procurement","8/28/2017 1:12:00 PM","","British Columbia",
"20","Hon.","Carla","Qualtrough","Minister of Accessibility","7/18/2018 10:00:00 AM","","British Columbia",
"21","Hon.","Kirsty","Duncan","Minister of Science and Sport","7/18/2018 10:00:00 AM","","Ontario",
"22","Hon.","Patty","Hajdu","Minister of Employment, Workforce Development and Labour","1/10/2017 2:54:06 PM","","Ontario",
"23","Hon.","Bardish","Chagger","Leader of the Government in the House of Commons","8/19/2016 3:22:00 PM","","Ontario",
"24","Hon.","François-Philippe","Champagne","Minister of Infrastructure and Communities","7/18/2018 10:00:00 AM","","Quebec",
"25","Hon.","Karina","Gould","Minister of Democratic Institutions","1/10/2017 12:00:00 AM","","Ontario",
"26","Hon.","Ahmed","Hussen","Minister of Immigration, Refugees and Citizenship","1/10/2017 2:54:06 PM","","Ontario",
"27","Hon.","Ginette","Petitpas Taylor","Minister of Health","8/28/2017 1:12:00 PM","","New Brunswick",
"28","Hon.","Seamus","O'Regan","Minister of Indigenous Services","1/14/2019 10:00:01 AM","","Newfoundland and Labrador",
"29","Hon.","Pablo","Rodriguez","Minister of Canadian Heritage and Multiculturalism","7/18/2018 10:00:00 AM","","Quebec",
"30","Hon.","Bill","Blair","Minister of Border Security and Organized Crime Reduction","7/18/2018 10:00:00 AM","","Ontario",
"31","Hon.","Mary","Ng","Minister of Small Business and Export Promotion","7/18/2018 10:00:00 AM","","Ontario",
"32","Hon.","Filomena","Tassi","Minister of Seniors","7/18/2018 10:00:00 AM","","Ontario",
"33","Hon.","Jonathan","Wilkinson","Minister of Fisheries, Oceans and the Canadian Coast Guard","7/18/2018 10:00:00 AM","","British Columbia",
"34","Hon.","David","Lametti","Minister of Justice","1/14/2019 10:00:01 AM","","Quebec",
"34","Hon.","David","Lametti","Attorney General of Canada","1/14/2019 10:00:01 AM","","Quebec",
"35","Hon.","Bernadette","Jordan","Minister of Rural Economic Development","1/14/2019 10:00:01 AM","","Nova Scotia",
"36","Hon.","Joyce","Murray","President of the Treasury Board","3/18/2019 12:00:00 AM","","British Columbia",
"36","Hon.","Joyce","Murray","Minister of Digital Government","3/18/2019 12:00:00 AM","","British Columbia",


