,key_ID,parliament_ID,session_ID,sitting_ID,item_ID,sitting_date,item_number,member_text,text,notice_date,constituency,full_name,member_number
1,1,42,42-1,42-1-5,42-1-Q-1,12/9/15,Q-1,Ms. Kwan (Vancouver East),"Q-1 ð December 7, 2015  ð Ms. Kwan (Vancouver East) ð With regard to refugee processing in Canada: (a) how many government-assisted Syrian refugees have been resettled in Canada since January 1, 2015, in total, broken down by (i) month; (b) how many applications for private sponsorship of Syrian refugees have been received since July 2013, in total, broken down by (i) year; (c) how many applications for privately-sponsored Syrian refugees have been received since January 1, 2015, broken down by (i) month; (d) how many applications for privately-sponsored Syrian refugees have been accepted since January 1, 2015, in total, broken down by (i) month; (e) how many privately-sponsored Syrian refugees have arrived in Canada since January 1, 2015, in total, broken down by (i) month; (f) what was the average processing time in 2014 for applications for privately-sponsored Syrian refugees; (g) what was the average processing time in 2015 for applications for privately-sponsored Syrian refugees, broken down by month; (h) how many Syrian refugees have made inland claims for refugee status at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (i) how many Syrian refugees have received a positive decision at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (j) how many applications for private sponsorship of Syrian refugees are currently waiting to be processed; (k) what criteria has the government enumerated for prioritizing resettlement on the basis of religion or ethnicity; (l) what instructions have been given to processing officers regarding religion or ethnicity of Syrian refugees; (m) what is the projected budget for the governmentðs resettling of 25 000 government-assisted Syrian refugees, in total, broken down by (i) program, (ii) year; (n) what is the projected budget for the processing and transport of privately-sponsored Syrian refugees, in total, broken down by (i) program, (ii) year; (o) over the next two years, how many Syrian refugees does the government plan to resettle each year, in total, broken down by (i) government-assisted refugees, (ii) privately-sponsored refugees; (p) how many government-assisted Iraqi refugees have been resettled in Canada since January 1, 2015, in total, broken down by (i) month; (q) how many applications for private sponsorship of Iraqi refugees have been received since July 2013, in total, broken down by (i) year; (r) how many applications for privately-sponsored Iraqi refugees have been received since January 1, 2015, broken down by month; (s) how many applications for privately-sponsored Iraqi refugees have been accepted since January 1, 2015, in total, broken down by (i) month; (t) how many privately-sponsored Iraqi refugees have arrived in Canada since January 1, 2015, in total, broken down by (i) month; (u) how many Iraqi refugees have made inland claims for refugee status at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (v) how many Iraqi refugees have received a positive decision at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (w) how many applications for private sponsorship of Iraqi refugees are currently waiting to be processed; (x) over the next two years, how many Iraqi refugees does the government plan to resettle each year, in total, broken down by (i) government-assisted, (ii) privately-sponsored; (y) what was the average processing time for all refugee applications in 2014 and 2015, in total, broken down by (i) year, (ii) processing centre, (iii) government-assisted refugees, (iv) privately-sponsored refugees; (z) how many refugees has Canada accepted in 2013 and 2014, in total, broken down by (i) country of origin, (ii) year; and (aa) how many total refugees does Canada intend to resettle in 2016?",12/7/15,Vancouver East,Jenny Kwan,404
2,2,42,42-1,42-1-5,42-1-Q-2,12/9/15,Q-2,Ms. Kwan (Vancouver East),"Q-2 ð December 7, 2015  ð Ms. Kwan (Vancouver East) ð With regard to the International Mobility Program: (a) how many applications were received for work permits in 2015, broken down by (i) total, (ii) month; (b) how many applications for work permits were approved in 2015, broken down by (i) total, (ii) month; (c) how many employers using the International Mobility Program have been subject to an investigation for compliance in 2015, broken down by (i) month, (ii) province; (d) how many investigations have revealed non-compliance by employers, broken down by (i) month, (ii) issues identified, (iii) industry of the employer; (e) how many employers have had to take steps to be considered compliant following an investigation, broken down by (i) month, (ii) type of actions required, (iii) industry of the employer; (f) how many employers have received penalties for non-compliance as a result of an investigation, broken down by (i) month, (ii) type of penalty, (iii) industry of the employer; (g) how many investigations have involved an on-site visit, broken down by month; and (h) how many Citizenship and Immigration Canada staff are currently assigned to conduct investigations for compliance?",12/7/15,Vancouver East,Jenny Kwan,404
3,3,42,42-1,42-1-5,42-1-Q-3,12/9/15,Q-3,Ms. Kwan (Vancouver East),"Q-3 ð December 7, 2015  ð Ms. Kwan (Vancouver East) ð With regard to applications to Citizenship and Immigration Canada: (a) how many applications for permanent residence are currently waiting to be processed, broken down by (i) total number, (ii) parents and grandparents, (iii) spouse, common-law partner or dependent child, (iv) Federal Skilled Workers pre-2008, (v) Federal Skilled Workers post-2008, (vi) Provincial Nominees, (vii) Investors, (viii) Entrepreneurs, (ix) Start-Up Visa, (x) Self-Employed Persons, (xi) Canadian Experience Class, (xii) Live in Caregivers, (xiii) humanitarian and compassionate; (b) how many applications for citizenship are currently waiting to be processed; (c) how many applications have been received to the Express Entry pool; (d) how many Express Entry applicants have been invited to submit an application for permanent residence; (e) how many draws have there been for Express Entry and what has been the cut-off point for each Express Entry draw; (f) what has been the point cut-off for each Express Entry draw; and (g) how many refugee applications are currently waiting to be processed, not including applications from Syrian refugees?",12/7/15,Vancouver East,Jenny Kwan,404
4,4,42,42-1,42-1-5,42-1-Q-4,12/9/15,Q-4,Ms. Hardcastle (WindsorðTecumseh),"Q-4 ð December 7, 2015  ð Ms. Hardcastle (WindsorðTecumseh) ð With regard to Employment and Social Development Canada and the Social Security Tribunal: (a) how many appeals are currently waiting to be heard at the Income Security Section (ISS), broken down by (i) total, (ii) Canada Pension Plan retirement pensions and survivors benefits, (iii) Canada Pension Plan Disability benefits, (iv) Old Age Security; (b) how many appeals have been heard by the ISS in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (c) how many appeals heard by the ISS were allowed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (d) how many appeals heard by the ISS were dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (e) how many appeals to the ISS were summarily dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (f) how many appeals at the ISS have been heard in person in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (g) how many appeals at the ISS have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (h) how many appeals at the ISS have been heard by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (i) how many appeals at the ISS have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (j) how many members hired in the Employment Insurance Section (EIS) are currently assigned to the ISS; (k) how many income security appeals are currently waiting to be heard by the Appeal Division (AD), in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (l) how many income security appeals have been heard by the AD in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (m) how many income security appeals heard by the AD were allowed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (n) how many income security appeals heard by the AD were dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (o) how many income security appeals to the AD were summarily dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (p) how many income security appeals at the AD have been heard in person in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (q) how many income security appeals at the AD have been heard in by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (r) how many income security appeals at the AD have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (s) how many income security appeals at the AD have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (t) how many appeals are currently waiting to be heard at the Employment Insurance Section (EIS); (u) how many appeals have been heard by the EIS in 2015, broken down by (i) total, (ii) month; (v) how many appeals heard by the EIS were allowed in 2015; (w) how many appeals heard by the EIS were dismissed in 2015; (x) how many appeals to the EIS were summarily dismissed in 2015; (y) how many appeals at the EIS have been heard in person 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (z) how many appeals at the EIS have been heard by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (aa) how many appeals at the EIS have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (bb) how many appeals at the EIS have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (cc) how many EI appeals are currently waiting to be heard by the AD; (dd) how many EI appeals have been heard by the AD in 2015; (ee) how many EI appeals heard by the AD were allowed in 2015; (ff) how many EI appeals heard by the AD were dismissed in 2015; (gg) how many EI appeals to the AD were summarily dismissed in 2015; (hh) how many EI appeals at the AD have been heard in person in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (ii) how many EI appeals at the AD have been heard by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (jj) how many EI appeals at the AD have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (kk) how many EI appeals at the AD have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (ll) how many legacy appeals are currently waiting to be heard at the ISS; (mm) how many legacy appeals are currently waiting to be heard at the EIS; (nn) how many legacy income security appeals are currently waiting to be heard at the AD; (oo) how many legacy Employment Insurance appeals are currently waiting to be heard at the AD; (pp) how many requests has the Tribunal received for an expedited hearing due to terminal illness in 2015, broken down by (i) month, (ii) requests granted, (iii) requests not granted; (qq) how many requests has the Tribunal received for an expedited hearing due to financial hardship in 2015, broken down by (i) month, (ii) section, (iii) requests granted, (iv) requests not granted; (rr) when will performance standards for the Tribunal be put in place; (ss) how many casefiles have been reviewed by the special unit created within the department to review backlogged social security appeals; (tt) how many settlements have been offered; (uu) how many settlements have been accepted; (vv) how much has been spent on the special unit within the department; (ww) what is the expected end date for the special unit within the department; (xx) for 2014 and 2015, what is the average amount of time for the Department to reach a decision on an application for Canada Pension Plan Disability benefits, broken down by month; and (yy) for 2014 and 2015, what is the average amount of time for the Department to reach a decision on a reconsideration of an application for Canada Pension Plan Disability benefits, broken down by month?",12/7/15,WindsorðTecumseh,Cheryl Hardcastle,331
5,5,42,42-1,42-1-6,42-1-Q-1,12/10/15,Q-1,Ms. Kwan (Vancouver East),"Q-1 ð December 7, 2015  ð Ms. Kwan (Vancouver East) ð With regard to refugee processing in Canada: (a) how many government-assisted Syrian refugees have been resettled in Canada since January 1, 2015, in total, broken down by (i) month; (b) how many applications for private sponsorship of Syrian refugees have been received since July 2013, in total, broken down by (i) year; (c) how many applications for privately-sponsored Syrian refugees have been received since January 1, 2015, broken down by (i) month; (d) how many applications for privately-sponsored Syrian refugees have been accepted since January 1, 2015, in total, broken down by (i) month; (e) how many privately-sponsored Syrian refugees have arrived in Canada since January 1, 2015, in total, broken down by (i) month; (f) what was the average processing time in 2014 for applications for privately-sponsored Syrian refugees; (g) what was the average processing time in 2015 for applications for privately-sponsored Syrian refugees, broken down by month; (h) how many Syrian refugees have made inland claims for refugee status at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (i) how many Syrian refugees have received a positive decision at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (j) how many applications for private sponsorship of Syrian refugees are currently waiting to be processed; (k) what criteria has the government enumerated for prioritizing resettlement on the basis of religion or ethnicity; (l) what instructions have been given to processing officers regarding religion or ethnicity of Syrian refugees; (m) what is the projected budget for the governmentðs resettling of 25 000 government-assisted Syrian refugees, in total, broken down by (i) program, (ii) year; (n) what is the projected budget for the processing and transport of privately-sponsored Syrian refugees, in total, broken down by (i) program, (ii) year; (o) over the next two years, how many Syrian refugees does the government plan to resettle each year, in total, broken down by (i) government-assisted refugees, (ii) privately-sponsored refugees; (p) how many government-assisted Iraqi refugees have been resettled in Canada since January 1, 2015, in total, broken down by (i) month; (q) how many applications for private sponsorship of Iraqi refugees have been received since July 2013, in total, broken down by (i) year; (r) how many applications for privately-sponsored Iraqi refugees have been received since January 1, 2015, broken down by month; (s) how many applications for privately-sponsored Iraqi refugees have been accepted since January 1, 2015, in total, broken down by (i) month; (t) how many privately-sponsored Iraqi refugees have arrived in Canada since January 1, 2015, in total, broken down by (i) month; (u) how many Iraqi refugees have made inland claims for refugee status at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (v) how many Iraqi refugees have received a positive decision at the Immigration and Refugee Board since July 2013, in total, broken down by (i) year, (ii) month; (w) how many applications for private sponsorship of Iraqi refugees are currently waiting to be processed; (x) over the next two years, how many Iraqi refugees does the government plan to resettle each year, in total, broken down by (i) government-assisted, (ii) privately-sponsored; (y) what was the average processing time for all refugee applications in 2014 and 2015, in total, broken down by (i) year, (ii) processing centre, (iii) government-assisted refugees, (iv) privately-sponsored refugees; (z) how many refugees has Canada accepted in 2013 and 2014, in total, broken down by (i) country of origin, (ii) year; and (aa) how many total refugees does Canada intend to resettle in 2016?",12/7/15,Vancouver East,Jenny Kwan,404
6,6,42,42-1,42-1-6,42-1-Q-2,12/10/15,Q-2,Ms. Kwan (Vancouver East),"Q-2 ð December 7, 2015  ð Ms. Kwan (Vancouver East) ð With regard to the International Mobility Program: (a) how many applications were received for work permits in 2015, broken down by (i) total, (ii) month; (b) how many applications for work permits were approved in 2015, broken down by (i) total, (ii) month; (c) how many employers using the International Mobility Program have been subject to an investigation for compliance in 2015, broken down by (i) month, (ii) province; (d) how many investigations have revealed non-compliance by employers, broken down by (i) month, (ii) issues identified, (iii) industry of the employer; (e) how many employers have had to take steps to be considered compliant following an investigation, broken down by (i) month, (ii) type of actions required, (iii) industry of the employer; (f) how many employers have received penalties for non-compliance as a result of an investigation, broken down by (i) month, (ii) type of penalty, (iii) industry of the employer; (g) how many investigations have involved an on-site visit, broken down by month; and (h) how many Citizenship and Immigration Canada staff are currently assigned to conduct investigations for compliance?",12/7/15,Vancouver East,Jenny Kwan,404
7,7,42,42-1,42-1-6,42-1-Q-3,12/10/15,Q-3,Ms. Kwan (Vancouver East),"Q-3 ð December 7, 2015  ð Ms. Kwan (Vancouver East) ð With regard to applications to Citizenship and Immigration Canada: (a) how many applications for permanent residence are currently waiting to be processed, broken down by (i) total number, (ii) parents and grandparents, (iii) spouse, common-law partner or dependent child, (iv) Federal Skilled Workers pre-2008, (v) Federal Skilled Workers post-2008, (vi) Provincial Nominees, (vii) Investors, (viii) Entrepreneurs, (ix) Start-Up Visa, (x) Self-Employed Persons, (xi) Canadian Experience Class, (xii) Live-in Caregivers, (xiii) humanitarian and compassionate; (b) how many applications for citizenship are currently waiting to be processed; (c) how many applications have been received to the Express Entry pool; (d) how many Express Entry applicants have been invited to submit an application for permanent residence; (e) how many draws have there been for Express Entry and what has been the cut-off point for each Express Entry draw; (f) what has been the point cut-off for each Express Entry draw; and (g) how many refugee applications are currently waiting to be processed, not including applications from Syrian refugees?",12/7/15,Vancouver East,Jenny Kwan,404
8,8,42,42-1,42-1-6,42-1-Q-4,12/10/15,Q-4,Ms. Hardcastle (WindsorðTecumseh),"Q-4 ð December 7, 2015  ð Ms. Hardcastle (WindsorðTecumseh) ð With regard to Employment and Social Development Canada and the Social Security Tribunal: (a) how many appeals are currently waiting to be heard at the Income Security Section (ISS), broken down by (i) total, (ii) Canada Pension Plan retirement pensions and survivors benefits, (iii) Canada Pension Plan Disability benefits, (iv) Old Age Security; (b) how many appeals have been heard by the ISS in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (c) how many appeals heard by the ISS were allowed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (d) how many appeals heard by the ISS were dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (e) how many appeals to the ISS were summarily dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (f) how many appeals at the ISS have been heard in person in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (g) how many appeals at the ISS have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (h) how many appeals at the ISS have been heard by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (i) how many appeals at the ISS have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (j) how many members hired in the Employment Insurance Section (EIS) are currently assigned to the ISS; (k) how many income security appeals are currently waiting to be heard by the Appeal Division (AD), in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (l) how many income security appeals have been heard by the AD in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (m) how many income security appeals heard by the AD were allowed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (n) how many income security appeals heard by the AD were dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (o) how many income security appeals to the AD were summarily dismissed in 2015, in total and broken down by (i) Canada Pension plan retirement pensions and survivors benefits, (ii) Canada Pension Plan disability benefits, (iii) Old Age Security; (p) how many income security appeals at the AD have been heard in person in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (q) how many income security appeals at the AD have been heard in by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (r) how many income security appeals at the AD have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (s) how many income security appeals at the AD have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (t) how many appeals are currently waiting to be heard at the Employment Insurance Section (EIS); (u) how many appeals have been heard by the EIS in 2015, broken down by (i) total, (ii) month; (v) how many appeals heard by the EIS were allowed in 2015; (w) how many appeals heard by the EIS were dismissed in 2015; (x) how many appeals to the EIS were summarily dismissed in 2015; (y) how many appeals at the EIS have been heard in person 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (z) how many appeals at the EIS have been heard by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (aa) how many appeals at the EIS have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (bb) how many appeals at the EIS have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (cc) how many EI appeals are currently waiting to be heard by the AD; (dd) how many EI appeals have been heard by the AD in 2015; (ee) how many EI appeals heard by the AD were allowed in 2015; (ff) how many EI appeals heard by the AD were dismissed in 2015; (gg) how many EI appeals to the AD were summarily dismissed in 2015; (hh) how many EI appeals at the AD have been heard in person in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (ii) how many EI appeals at the AD have been heard by videoconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (jj) how many EI appeals at the AD have been heard by teleconference in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (kk) how many EI appeals at the AD have been heard in writing in 2015, broken down by (i) appeals allowed, (ii) appeals dismissed; (ll) how many legacy appeals are currently waiting to be heard at the ISS; (mm) how many legacy appeals are currently waiting to be heard at the EIS; (nn) how many legacy income security appeals are currently waiting to be heard at the AD; (oo) how many legacy Employment Insurance appeals are currently waiting to be heard at the AD; (pp) how many requests has the Tribunal received for an expedited hearing due to terminal illness in 2015, broken down by (i) month, (ii) requests granted, (iii) requests not granted; (qq) how many requests has the Tribunal received for an expedited hearing due to financial hardship in 2015, broken down by (i) month, (ii) section, (iii) requests granted, (iv) requests not granted; (rr) when will performance standards for the Tribunal be put in place; (ss) how many casefiles have been reviewed by the special unit created within the department to review backlogged social security appeals; (tt) how many settlements have been offered; (uu) how many settlements have been accepted; (vv) how much has been spent on the special unit within the department; (ww) what is the expected end date for the special unit within the department; (xx) for 2014 and 2015, what is the average amount of time for the Department to reach a decision on an application for Canada Pension Plan Disability benefits, broken down by month; and (yy) for 2014 and 2015, what is the average amount of time for the Department to reach a decision on a reconsideration of an application for Canada Pension Plan Disability benefits, broken down by month?",12/7/15,WindsorðTecumseh,Cheryl Hardcastle,331
9,9,42,42-1,42-1-6,42-1-Q-5,12/10/15,Q-5,Ms. Boutin-Sweet (Hochelaga),"Q-5 ð December 8, 2015  ð Ms. Boutin-Sweet (Hochelaga) ð With regard to Canada Mortgage and Housing Corporation: (a) how many long-term operating agreements for social housing units are currently in existence, broken down by province; (b) for each agreement, (i) what is the name of the agreement holder, (ii) when does the agreement expire; and (c) since 1995, how many long-term operating agreements have expired, broken down by year?",12/8/15,Hochelaga,Marjolaine Boutin-Sweet,107
10,10,42,42-1,42-1-6,42-1-Q-6,12/10/15,Q-6,Ms. Boutin-Sweet (Hochelaga),"Q-6 ð December 8, 2015  ð Ms. Boutin-Sweet (Hochelaga) ð With regard to government funding allocated to the constituency of Hochelaga for each fiscal year from 2004-2005 to 2015-2016: (a) what is the total amount of funding per (i) department, (ii) agency, (iii) all other government bodies, (iv) program; and (b) how many jobs is this funding directly responsible for, broken down by (i) full-time positions, (ii) part-time positions?",12/8/15,Hochelaga,Marjolaine Boutin-Sweet,107
