observation_path,parliament_path,chamber_path,member_path,observation_number,parliament_number,chamber_number,member_number,chamber_name,full_name,first_name,last_name,member_ID,constituency_name,constituency_ID,party_name,start_date,end_date
/parliament-38/chamber-1/member-1,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-1,1,38,1,1,House of Commons,Jim Abbott,Jim,Abbott,/chamber-1/member-1,Kootenay—Columbia,/chamber-1/constituency-124,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-2,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-2,2,38,1,2,House of Commons,Diane Ablonczy,Diane,Ablonczy,/chamber-1/member-2,Calgary—Nose Hill,/chamber-1/constituency-43,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-3,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-3,3,38,1,3,House of Commons,Peter Adams,Peter,Adams,/chamber-1/member-4,Peterborough,/chamber-1/constituency-199,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-4,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-4,4,38,1,4,House of Commons,Reg Alcock,Reg,Alcock,/chamber-1/member-9,Winnipeg South,/chamber-1/constituency-300,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-5,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-5,5,38,1,5,House of Commons,Dean Allison,Dean,Allison,/chamber-1/member-14,Niagara West—Glanbrook,/chamber-1/constituency-173,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-6,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-6,6,38,1,6,House of Commons,Rona Ambrose,Rona,Ambrose,/chamber-1/member-16,Edmonton—Spruce Grove,/chamber-1/constituency-78,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-7,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-7,7,38,1,7,House of Commons,Rob Anders,Rob,Anders,/chamber-1/member-17,Calgary West,/chamber-1/constituency-42,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-8,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-8,8,38,1,8,House of Commons,David Anderson,David,Anderson,/chamber-1/member-18,Cypress Hills—Grasslands,/chamber-1/constituency-62,Conservative Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-9,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-9,9,38,1,9,House of Commons,David Anderson,David,Anderson,/chamber-1/member-19,Victoria,/chamber-1/constituency-284,Liberal Party of Canada,6/28/04,1/1/06
/parliament-38/chamber-1/member-10,/parliament-38,/parliament-38/chamber-1,/parliament-38/chamber-1/member-10,10,38,1,10,House of Commons,Guy André,Guy,André,/chamber-1/member-20,Berthier—Maskinongé,/chamber-1/constituency-20,Bloc Québécois,6/28/04,1/1/06
