"","observation_path","parliament_path","chamber_path","member_path","observation_number","parliament_number","chamber_number","member_number","chamber_name","full_name","first_name","last_name","member_ID","constituency_name","party_name","start_date","end_date"
"1","/parliament-38/chamber-1/member-1","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-1",1,"38",1,1,"House of Commons","Jim Abbott","Jim","Abbott","/chamber-1/member-1","Kootenay—Columbia","Conservative","6/28/2004","1/22/2006"
"2","/parliament-38/chamber-1/member-2","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-2",2,"38",1,2,"House of Commons","Diane Ablonczy","Diane","Ablonczy","/chamber-1/member-2","Calgary—Nose Hill","Conservative","6/28/2004","1/22/2006"
"3","/parliament-38/chamber-1/member-3","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-3",3,"38",1,3,"House of Commons","Peter Adams","Peter","Adams","/chamber-1/member-5","Peterborough","Liberal","6/28/2004","1/22/2006"
"4","/parliament-38/chamber-1/member-4","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-4",4,"38",1,4,"House of Commons","Reg Alcock","Reg","Alcock","/chamber-1/member-10","Winnipeg South","Liberal","6/28/2004","1/22/2006"
"5","/parliament-38/chamber-1/member-5","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-5",5,"38",1,5,"House of Commons","Dean Allison","Dean","Allison","/chamber-1/member-17","Niagara West—Glanbrook","Conservative","6/28/2004","1/22/2006"
"6","/parliament-38/chamber-1/member-6","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-6",6,"38",1,6,"House of Commons","Rona Ambrose","Rona","Ambrose","/chamber-1/member-19","Edmonton—Spruce Grove","Conservative","6/28/2004","1/22/2006"
"7","/parliament-38/chamber-1/member-7","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-7",7,"38",1,7,"House of Commons","Rob Anders","Rob","Anders","/chamber-1/member-22","Calgary West","Conservative","6/28/2004","1/22/2006"
"8","/parliament-38/chamber-1/member-8","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-8",8,"38",1,8,"House of Commons","David Anderson","David","Anderson","/chamber-1/member-23","Victoria","Liberal","6/28/2004","1/22/2006"
"9","/parliament-38/chamber-1/member-9","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-9",9,"38",1,9,"House of Commons","David Anderson","David","Anderson","/chamber-1/member-23","Cypress Hills—Grasslands","Conservative","6/28/2004","1/22/2006"
"10","/parliament-38/chamber-1/member-10","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-10",10,"38",1,10,"House of Commons","Guy André","Guy","André","/chamber-1/member-24","Berthier—Maskinongé","Bloc Québécois","6/28/2004","1/22/2006"
"11","/parliament-38/chamber-1/member-11","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-11",11,"38",1,11,"House of Commons","Charlie Angus","Charlie","Angus","/chamber-1/member-26","Timmins—James Bay","NDP","6/28/2004","1/22/2006"
"12","/parliament-38/chamber-1/member-12","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-12",12,"38",1,12,"House of Commons","Gérard Asselin","Gérard","Asselin","/chamber-1/member-35","Manicouagan","Bloc Québécois","6/28/2004","1/22/2006"
"13","/parliament-38/chamber-1/member-13","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-13",13,"38",1,13,"House of Commons","Jean Augustine","Jean","Augustine","/chamber-1/member-38","Etobicoke—Lakeshore","Liberal","6/28/2004","1/22/2006"
"14","/parliament-38/chamber-1/member-14","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-14",14,"38",1,14,"House of Commons","Claude Bachand","Claude","Bachand","/chamber-1/member-41","Saint-Jean","Bloc Québécois","6/28/2004","1/22/2006"
"15","/parliament-38/chamber-1/member-15","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-15",15,"38",1,15,"House of Commons","Larry Bagnell","Larry","Bagnell","/chamber-1/member-43","Yukon","Liberal","6/28/2004","1/22/2006"
"16","/parliament-38/chamber-1/member-16","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-16",16,"38",1,16,"House of Commons","Navdeep Bains","Navdeep","Bains","/chamber-1/member-44","Mississauga—Brampton South","Liberal","6/28/2004","1/22/2006"
"17","/parliament-38/chamber-1/member-17","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-17",17,"38",1,17,"House of Commons","Eleni Bakopanos","Eleni","Bakopanos","/chamber-1/member-46","Ahuntsic","Liberal","6/28/2004","1/22/2006"
"18","/parliament-38/chamber-1/member-18","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-18",18,"38",1,18,"House of Commons","Sue Barnes","Sue","Barnes","/chamber-1/member-49","London West","Liberal","6/28/2004","1/22/2006"
"19","/parliament-38/chamber-1/member-19","/parliament-38","/parliament-38/chamber-1","/parliament-38/chamber-1/member-19",19,"38",1,19,"House of Commons","Dave Batters","Dave","Batters","/chamber-1/member-53","Palliser","Conservative","6/28/2004","1/22/2006"
