"","constituency_name","observation_path","chamber_path","constituency_path","observation_number","chamber_number","constituency_number","chamber_name","province_name"
"1","Abbotsford","/chamber-1/observation-1","/chamber-1","/chamber-1/constituency-1",1,1,1,"House of Commons","British Columbia"
"2","Abitibi—Baie-James—Nunavik—Eeyou","/chamber-1/observation-2","/chamber-1","/chamber-1/constituency-2",2,1,2,"House of Commons","Quebec"
"3","Abitibi—Témiscamingue","/chamber-1/observation-3","/chamber-1","/chamber-1/constituency-3",3,1,3,"House of Commons","Quebec"
"4","Acadie—Bathurst","/chamber-1/observation-4","/chamber-1","/chamber-1/constituency-4",4,1,4,"House of Commons","New Brunswick"
"5","Ahuntsic","/chamber-1/observation-5","/chamber-1","/chamber-1/constituency-5",5,1,5,"House of Commons","Quebec"
"6","Ahuntsic-Cartierville","/chamber-1/observation-6","/chamber-1","/chamber-1/constituency-6",6,1,6,"House of Commons","Quebec"
"7","Ajax","/chamber-1/observation-7","/chamber-1","/chamber-1/constituency-7",7,1,7,"House of Commons","Ontario"
"8","Ajax—Pickering","/chamber-1/observation-8","/chamber-1","/chamber-1/constituency-8",8,1,8,"House of Commons","Ontario"
"9","Alfred-Pellan","/chamber-1/observation-9","/chamber-1","/chamber-1/constituency-9",9,1,9,"House of Commons","Quebec"
"10","Algoma—Manitoulin—Kapuskasing","/chamber-1/observation-10","/chamber-1","/chamber-1/constituency-10",10,1,10,"House of Commons","Ontario"
"11","Ancaster—Dundas—Flamborough—Westdale","/chamber-1/observation-11","/chamber-1","/chamber-1/constituency-11",11,1,11,"House of Commons","Ontario"
"12","Argenteuil—La Petite-Nation","/chamber-1/observation-12","/chamber-1","/chamber-1/constituency-12",12,1,12,"House of Commons","Quebec"
"13","Argenteuil—Papineau—Mirabel","/chamber-1/observation-13","/chamber-1","/chamber-1/constituency-13",13,1,13,"House of Commons","Quebec"
"14","Aurora—Oak Ridges—Richmond Hill","/chamber-1/observation-14","/chamber-1","/chamber-1/constituency-14",14,1,14,"House of Commons","Ontario"
"15","Avalon","/chamber-1/observation-15","/chamber-1","/chamber-1/constituency-15",15,1,15,"House of Commons","Newfoundland and Labrador"
"16","Avignon—La Mitis—Matane—Matapédia","/chamber-1/observation-16","/chamber-1","/chamber-1/constituency-16",16,1,16,"House of Commons","Quebec"
"17","Banff—Airdrie","/chamber-1/observation-17","/chamber-1","/chamber-1/constituency-17",17,1,17,"House of Commons","Alberta"
"18","Barrie","/chamber-1/observation-18","/chamber-1","/chamber-1/constituency-18",18,1,18,"House of Commons","Ontario"
"19","Barrie—Innisfil","/chamber-1/observation-19","/chamber-1","/chamber-1/constituency-19",19,1,19,"House of Commons","Ontario"
"20","Barrie—Springwater—Oro-Medonte","/chamber-1/observation-20","/chamber-1","/chamber-1/constituency-20",20,1,20,"House of Commons","Ontario"
"21","Bas-Richelieu—Nicolet—Bécancour","/chamber-1/observation-21","/chamber-1","/chamber-1/constituency-21",21,1,21,"House of Commons","Quebec"
"22","Battle River—Crowfoot","/chamber-1/observation-22","/chamber-1","/chamber-1/constituency-22",22,1,22,"House of Commons","Alberta"
"23","Battlefords—Lloydminster","/chamber-1/observation-23","/chamber-1","/chamber-1/constituency-23",23,1,23,"House of Commons","Saskatchewan"
"24","Bay of Quinte","/chamber-1/observation-24","/chamber-1","/chamber-1/constituency-24",24,1,24,"House of Commons","Ontario"
"25","Beaches—East York","/chamber-1/observation-25","/chamber-1","/chamber-1/constituency-25",25,1,25,"House of Commons","Ontario"
"26","Beauce","/chamber-1/observation-26","/chamber-1","/chamber-1/constituency-26",26,1,26,"House of Commons","Quebec"
"27","Beauharnois—Salaberry","/chamber-1/observation-27","/chamber-1","/chamber-1/constituency-27",27,1,27,"House of Commons","Quebec"
"28","Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix","/chamber-1/observation-28","/chamber-1","/chamber-1/constituency-28",28,1,28,"House of Commons","Quebec"
"29","Beauport—Limoilou","/chamber-1/observation-29","/chamber-1","/chamber-1/constituency-29",29,1,29,"House of Commons","Quebec"
"30","Beauséjour","/chamber-1/observation-30","/chamber-1","/chamber-1/constituency-30",30,1,30,"House of Commons","New Brunswick"
"31","Bécancour—Nicolet—Saurel","/chamber-1/observation-31","/chamber-1","/chamber-1/constituency-31",31,1,31,"House of Commons","Quebec"
"32","Bellechasse—Les Etchemins—Lévis","/chamber-1/observation-32","/chamber-1","/chamber-1/constituency-32",32,1,32,"House of Commons","Quebec"
"33","Beloeil—Chambly","/chamber-1/observation-33","/chamber-1","/chamber-1/constituency-33",33,1,33,"House of Commons","Quebec"
"34","Berthier—Maskinongé","/chamber-1/observation-34","/chamber-1","/chamber-1/constituency-34",34,1,34,"House of Commons","Quebec"
"35","Blackstrap","/chamber-1/observation-35","/chamber-1","/chamber-1/constituency-35",35,1,35,"House of Commons","Saskatchewan"
"36","Bonavista—Burin—Trinity","/chamber-1/observation-36","/chamber-1","/chamber-1/constituency-36",36,1,36,"House of Commons","Newfoundland and Labrador"
"37","Bonavista—Gander—Grand Falls—Windsor","/chamber-1/observation-37","/chamber-1","/chamber-1/constituency-37",37,1,37,"House of Commons","Newfoundland and Labrador"
"38","Bourassa","/chamber-1/observation-38","/chamber-1","/chamber-1/constituency-38",38,1,38,"House of Commons","Quebec"
"39","Bow River","/chamber-1/observation-39","/chamber-1","/chamber-1/constituency-39",39,1,39,"House of Commons","Alberta"
"40","Bramalea—Gore—Malton","/chamber-1/observation-40","/chamber-1","/chamber-1/constituency-40",40,1,40,"House of Commons","Ontario"
"41","Brampton Centre","/chamber-1/observation-41","/chamber-1","/chamber-1/constituency-41",41,1,41,"House of Commons","Ontario"
"42","Brampton East","/chamber-1/observation-42","/chamber-1","/chamber-1/constituency-42",42,1,42,"House of Commons","Ontario"
"43","Brampton North","/chamber-1/observation-43","/chamber-1","/chamber-1/constituency-43",43,1,43,"House of Commons","Ontario"
"44","Brampton South","/chamber-1/observation-44","/chamber-1","/chamber-1/constituency-44",44,1,44,"House of Commons","Ontario"
"45","Brampton West","/chamber-1/observation-45","/chamber-1","/chamber-1/constituency-45",45,1,45,"House of Commons","Ontario"
"46","Brampton—Springdale","/chamber-1/observation-46","/chamber-1","/chamber-1/constituency-46",46,1,46,"House of Commons","Ontario"
"47","Brandon—Souris","/chamber-1/observation-47","/chamber-1","/chamber-1/constituency-47",47,1,47,"House of Commons","Manitoba"
"48","Brant","/chamber-1/observation-48","/chamber-1","/chamber-1/constituency-48",48,1,48,"House of Commons","Ontario"
