"observation_path","chamber_path","member_path","observation_number","chamber_number","member_number","chamber_name","full_name","first_name","last_name","constituency_name","constituency_ID","party_name","start_date","end_date"
"/chamber-1/member-1","/chamber-1","/chamber-1/member-1",1,1,1,"House of Commons","Jim Abbott","Jim","Abbott","Kootenay—Columbia","/chamber-1/constituency-124","Conservative Party of Canada",2004-06-28,2011-05-05
"/chamber-1/member-2","/chamber-1","/chamber-1/member-2",2,1,2,"House of Commons","Diane Ablonczy","Diane","Ablonczy","Calgary—Nose Hill","/chamber-1/constituency-43","Conservative Party of Canada",2004-06-28,2015-10-10
"/chamber-1/member-3","/chamber-1","/chamber-1/member-3",3,1,3,"House of Commons","Eve Adams","Eve","Adams","Mississauga—Brampton South","/chamber-1/constituency-157","Liberal Party of Canada",2011-05-02,2015-10-10
"/chamber-1/member-4","/chamber-1","/chamber-1/member-4",4,1,4,"House of Commons","Peter Adams","Peter","Adams","Peterborough","/chamber-1/constituency-199","Liberal Party of Canada",2004-06-28,2006-01-01
"/chamber-1/member-5","/chamber-1","/chamber-1/member-5",5,1,5,"House of Commons","Mark Adler","Mark","Adler","York Centre","/chamber-1/constituency-303","Conservative Party of Canada",2011-05-02,2015-10-10
"/chamber-1/member-6","/chamber-1","/chamber-1/member-6",6,1,6,"House of Commons","Leona Aglukkaq","Leona","Aglukkaq","Nunavut","/chamber-1/constituency-180","Conservative Party of Canada",2008-10-14,2015-10-10
"/chamber-1/member-7","/chamber-1","/chamber-1/member-7",7,1,7,"House of Commons","Dan Albas","Dan","Albas","Okanagan—Coquihalla","/chamber-1/constituency-183","Conservative Party of Canada",2011-05-02,2015-10-10
"/chamber-1/member-8","/chamber-1","/chamber-1/member-8",8,1,8,"House of Commons","Harold Albrecht","Harold","Albrecht","Kitchener—Conestoga","/chamber-1/constituency-122","Conservative Party of Canada",2006-01-23,2015-10-10
"/chamber-1/member-9","/chamber-1","/chamber-1/member-9",9,1,9,"House of Commons","Reg Alcock","Reg","Alcock","Winnipeg South","/chamber-1/constituency-300","Liberal Party of Canada",2004-06-28,2006-01-01
"/chamber-1/member-10","/chamber-1","/chamber-1/member-10",10,1,10,"House of Commons","Chris Alexander","Chris","Alexander","Ajax—Pickering","/chamber-1/constituency-6","Conservative Party of Canada",2011-05-02,2015-10-10
