"","observation_path","chamber_path","member_path","observation_number","chamber_number","member_number","chamber_name","full_name","first_name","last_name","constituency_name","constituency_ID","party_name","start_date","end_date"
"1","/chamber-1/member-1","/chamber-1","/chamber-1/member-1","1",1,"1","House of Commons","Jim Abbott","Jim","Abbott","Kootenay—Columbia","/chamber-1/constituency-195","Conservative",2004-06-28,2011-05-01
"2","/chamber-1/member-2","/chamber-1","/chamber-1/member-2","2",1,"2","House of Commons","Diane Ablonczy","Diane","Ablonczy","Calgary—Nose Hill","/chamber-1/constituency-76","Conservative",2004-06-28,2015-10-18
"3","/chamber-1/member-3","/chamber-1","/chamber-1/member-3","3",1,"3","House of Commons","Ziad Aboultaif","Ziad","Aboultaif","Edmonton Manning","/chamber-1/constituency-127","Conservative",2015-10-19,NA
"4","/chamber-1/member-4","/chamber-1","/chamber-1/member-4","4",1,"4","House of Commons","Eve Adams","Eve","Adams","Mississauga—Brampton South","/chamber-1/constituency-247","Liberal",2011-05-02,2015-10-18
"5","/chamber-1/member-5","/chamber-1","/chamber-1/member-5","5",1,"5","House of Commons","Peter Adams","Peter","Adams","Peterborough","/chamber-1/constituency-306","Liberal",2004-06-28,2006-01-22
"6","/chamber-1/member-6","/chamber-1","/chamber-1/member-6","6",1,"6","House of Commons","Mark Adler","Mark","Adler","York Centre","/chamber-1/constituency-453","Conservative",2011-05-02,2015-10-18
"7","/chamber-1/member-7","/chamber-1","/chamber-1/member-7","7",1,"7","House of Commons","Leona Aglukkaq","Leona","Aglukkaq","Nunavut","/chamber-1/constituency-284","Conservative",2008-10-14,2015-10-18
"8","/chamber-1/member-8","/chamber-1","/chamber-1/member-8","8",1,"8","House of Commons","Dan Albas","Dan","Albas","Central Okanagan—Similkameen—Nicola","/chamber-1/constituency-85","Conservative",2011-05-02,NA
"9","/chamber-1/member-9","/chamber-1","/chamber-1/member-9","9",1,"9","House of Commons","Harold Albrecht","Harold","Albrecht","Kitchener—Conestoga","/chamber-1/constituency-193","Conservative",2006-01-23,NA
"10","/chamber-1/member-10","/chamber-1","/chamber-1/member-10","10",1,"10","House of Commons","Reg Alcock","Reg","Alcock","Winnipeg South","/chamber-1/constituency-450","Liberal",2004-06-28,2006-01-22
"11","/chamber-1/member-11","/chamber-1","/chamber-1/member-11","11",1,"11","House of Commons","John Aldag","John","Aldag","Cloverdale—Langley City","/chamber-1/constituency-100","Liberal",2015-10-19,NA
"12","/chamber-1/member-12","/chamber-1","/chamber-1/member-12","12",1,"12","House of Commons","Chris Alexander","Chris","Alexander","Ajax—Pickering","/chamber-1/constituency-8","Conservative",2011-05-02,2015-10-18
"13","/chamber-1/member-13","/chamber-1","/chamber-1/member-13","13",1,"13","House of Commons","Omar Alghabra","Omar","Alghabra","Mississauga Centre","/chamber-1/constituency-244","Liberal",2006-01-23,NA
"14","/chamber-1/member-14","/chamber-1","/chamber-1/member-14","14",1,"14","House of Commons","Malcolm Allen","Malcolm","Allen","Welland","/chamber-1/constituency-435","NDP",2008-10-14,2015-10-18
"15","/chamber-1/member-15","/chamber-1","/chamber-1/member-15","15",1,"15","House of Commons","Mike Allen","Mike","Allen","Tobique—Mactaquac","/chamber-1/constituency-410","Conservative",2006-01-23,2015-10-18
"16","/chamber-1/member-16","/chamber-1","/chamber-1/member-16","16",1,"16","House of Commons","Leona Alleslev","Leona","Alleslev","Aurora—Oak Ridges—Richmond Hill","/chamber-1/constituency-14","Conservative",2015-10-19,NA
"17","/chamber-1/member-17","/chamber-1","/chamber-1/member-17","17",1,"17","House of Commons","Dean Allison","Dean","Allison","Niagara West","/chamber-1/constituency-272","Conservative",2004-06-28,NA
