"","observation_path","parliament_path","session_path","observation_number","parliament_number","session_number","session_description","start_date","end_date"
"1","/parliament-51/session-1","/parliament-51","/parliament-51/session-1","1","51","1","Ordentliche Wintersession",2019-12-02,2019-12-20
"2","/parliament-50​/session-​19","/parliament-50​","/parliament-50​/session-​19","2","50​","​19","​Ordentliche Herbstsession",2019-09-09,2019-09-27
"3","/parliament-​50/session-​18","/parliament-​50","/parliament-​50/session-​18","3","​50","​18","​Ordentliche Sommersession",2019-06-03,2019-06-21
"4","/parliament-​50/session-​17","/parliament-​50","/parliament-​50/session-​17","4","​50","​17","​Sondersession Nationalrat",2019-05-07,2019-05-09
"5","/parliament-​50/session-​16","/parliament-​50","/parliament-​50/session-​16","5","​50","​16","​Ordentliche Frühjahrssession",2019-03-04,2019-03-22
"6","/parliament-​50/session-​15","/parliament-​50","/parliament-​50/session-​15","6","​50","​15","​Ordentliche Wintersession",2018-11-26,2018-12-14
"7","/parliament-50/session-​14","/parliament-50","/parliament-50/session-​14","7","50","​14","​Ordentliche Herbstsession",2018-09-10,2018-09-28
"8","/parliament-50/session-​13","/parliament-50","/parliament-50/session-​13","8","50","​13","​Ordentliche Sommersession",2018-05-28,2018-06-15
"9","/parliament-50/session-​12","/parliament-50","/parliament-50/session-​12","9","50","​12","​Ordentliche Frühjahrssession",2018-02-26,2018-03-16
"10","/parliament-50/session-​11","/parliament-50","/parliament-50/session-​11","10","50","​11","​Ordentliche Wintersession",2017-11-27,2017-12-15
"11","/parliament-50/session-​10","/parliament-50","/parliament-50/session-​10","11","50","​10","​Ordentliche Herbstsession",2017-09-11,2017-09-29
"12","/parliament-50/session-​9","/parliament-50","/parliament-50/session-​9","12","50","​9","​Ordentliche Sommersession",2017-05-29,2017-06-16
"13","/parliament-50/session-​8","/parliament-50","/parliament-50/session-​8","13","50","​8","​Sondersession Nationalrat",2017-05-02,2017-05-04
"14","/parliament-50/session-​7","/parliament-50","/parliament-50/session-​7","14","50","​7","​Ordentliche Frühjahrssession",2017-02-27,2017-03-17
"15","/parliament-50/session-6","/parliament-50","/parliament-50/session-6","15","50","6","Ordentliche Wintersession",2016-11-28,2016-12-16
"16","/parliament-50/session-5","/parliament-50","/parliament-50/session-5","16","50","5","Ordentliche Herbstsession",2016-09-12,2016-09-30
"17","/parliament-50/session-4","/parliament-50","/parliament-50/session-4","17","50","4","Ordentliche Sommersession",2016-05-30,2016-06-17
"18","/parliament-50/session-3","/parliament-50","/parliament-50/session-3","18","50","3","Sondersession Nationalrat",2016-04-25,2016-04-27
"19","/parliament-50/session-2","/parliament-50","/parliament-50/session-2","19","50","2","Ordentliche Frühjahrssession",2016-02-29,2016-03-18
"20","/parliament-50/session-1.2","/parliament-50","/parliament-50/session-1.2","20","50","1.2","Ausserordentliche Session (Nationalrat)",2015-12-16,2015-12-16
"21","/parliament-50/session-1.1","/parliament-50","/parliament-50/session-1.1","21","50","1.1","Ausserordentliche Session (Nationalrat)",2015-12-10,2015-12-10
"22","/parliament-50/session-1","/parliament-50","/parliament-50/session-1","22","50","1","Ordentliche Wintersession",2015-11-30,2015-12-18
"23","/parliament-49/session-20","/parliament-49","/parliament-49/session-20","23","49","20","Ordentliche Herbstsession",2015-09-07,2015-09-25
"24","/parliament-49/session-19","/parliament-49","/parliament-49/session-19","24","49","19","Ordentliche Sommersession",2015-06-01,2015-06-19
"25","/parliament-49/session-18","/parliament-49","/parliament-49/session-18","25","49","18","Sondersession Nationalrat",2015-05-04,2015-05-06
"26","/parliament-49/session-17","/parliament-49","/parliament-49/session-17","26","49","17","Ordentliche Frühjahrssession",2015-03-02,2015-03-20
"27","/parliament-49/session-16","/parliament-49","/parliament-49/session-16","27","49","16","Ordentliche Wintersession",2014-11-24,2014-12-12
"28","/parliament-49/session-15","/parliament-49","/parliament-49/session-15","28","49","15","Ordentliche Herbstsession",2014-09-08,2014-09-26
"29","/parliament-49/session-14","/parliament-49","/parliament-49/session-14","29","49","14","Ordentliche Sommersession",2014-06-02,2014-06-20
"30","/parliament-49/session-13","/parliament-49","/parliament-49/session-13","30","49","13","Sondersession Nationalrat",2014-05-05,2014-05-08
"31","/parliament-49/session-12","/parliament-49","/parliament-49/session-12","31","49","12","Ordentliche Frühjahrssession",2014-03-03,2014-03-21
"32","/parliament-49/session-11","/parliament-49","/parliament-49/session-11","32","49","11","Ordentliche Wintersession",2013-11-25,2013-12-13
"33","/parliament-49/session-10","/parliament-49","/parliament-49/session-10","33","49","10","Ordentliche Herbstsession",2013-09-09,2013-09-27
"34","/parliament-49/session-9","/parliament-49","/parliament-49/session-9","34","49","9","Ordentliche Sommersession",2013-06-03,2013-06-21
"35","/parliament-49/session-8.1","/parliament-49","/parliament-49/session-8.1","35","49","8.1","Ausserordentliche Session (Nationalrat)",2013-04-17,2013-04-17
"36","/parliament-49/session-8","/parliament-49","/parliament-49/session-8","36","49","8","Sondersession Nationalrat",2013-04-15,2013-04-17
"37","/parliament-49/session-7","/parliament-49","/parliament-49/session-7","37","49","7","Ordentliche Frühjahrssession",2013-03-04,2013-03-22
"38","/parliament-49/session-6","/parliament-49","/parliament-49/session-6","38","49","6","Ordentliche Wintersession",2012-11-26,2012-12-14
"39","/parliament-49/session-5","/parliament-49","/parliament-49/session-5","39","49","5","Ordentliche Herbstsession",2012-09-10,2012-09-28
"40","/parliament-49/session-4","/parliament-49","/parliament-49/session-4","40","49","4","Ordentliche Sommersession",2012-04-29,2012-05-15
"41","/parliament-49/session-3.2","/parliament-49","/parliament-49/session-3.2","41","49","3.2","Ausserordentliche Session (Ständerat)",2012-03-15,2012-03-15
"42","/parliament-49/session-3.1","/parliament-49","/parliament-49/session-3.1","42","49","3.1","Ausserordentliche Session (Ständerat)",2012-03-14,2012-03-14
"43","/parliament-49/session-3","/parliament-49","/parliament-49/session-3","43","49","3","Sondersession Nationalrat",2012-05-02,2012-05-03
"44","/parliament-49/session-2","/parliament-49","/parliament-49/session-2","44","49","2","Ordentliche Frühjahrssession",2012-02-27,2012-03-16
"45","/parliament-49/session-1.2","/parliament-49","/parliament-49/session-1.2","45","49","1.2","Ausserordentliche Session (Ständerat)",2011-12-21,2011-12-21
"46","/parliament-49/session-1.1","/parliament-49","/parliament-49/session-1.1","46","49","1.1","Ausserordentliche Session (Ständerat)",2011-12-06,2011-12-06
"47","/parliament-49/session-1","/parliament-49","/parliament-49/session-1","47","49","1","Ordentliche Wintersession",2011-12-05,2011-12-23
"48","/parliament-48/session-20.5","/parliament-48","/parliament-48/session-20.5","48","48","20.5","Ausserordentliche Session (Ständerat)",2011-09-28,2011-09-28
"49","/parliament-48/session-20.4","/parliament-48","/parliament-48/session-20.4","49","48","20.4","Ausserordentliche Session (Nationalrat)",2011-09-28,2011-09-28
"50","/parliament-48/session-20.3","/parliament-48","/parliament-48/session-20.3","50","48","20.3","Ausserordentliche Session (Nationalrat)",2011-09-19,2011-09-20
"51","/parliament-48/session-20.2","/parliament-48","/parliament-48/session-20.2","51","48","20.2","Ausserordentliche Session (Ständerat)",2011-09-14,2011-09-14
"52","/parliament-48/session-20.1","/parliament-48","/parliament-48/session-20.1","52","48","20.1","Ausserordentliche Session (Ständerat)",2011-09-12,2011-09-12
"53","/parliament-48/session-20","/parliament-48","/parliament-48/session-20","53","48","20","Ordentliche Herbstsession",2011-09-12,2011-09-30
"54","/parliament-48/session-19.4","/parliament-48","/parliament-48/session-19.4","54","48","19.4","Ausserordentliche Session (Ständerat)",2011-06-16,2011-06-16
"55","/parliament-48/session-19.3","/parliament-48","/parliament-48/session-19.3","55","48","19.3","Ausserordentliche Session (Ständerat)",2011-06-09,2011-06-09
"56","/parliament-48/session-19.2","/parliament-48","/parliament-48/session-19.2","56","48","19.2","Ausserordentliche Session (Nationalrat)",2011-06-09,2011-06-09
