"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/643667","Ten Minute Rule","2017-03-01","organdonorsleave.html","http://services.parliament.uk/bills/2016-17/organdonorsleave.html","1926","Organ Donors (Leave)","2016-2017","Louise Haigh","Organ Donors (Leave) Bill"
"http://data.parliament.uk/resources/531370","Ballot","2017-02-27","benefitclaimantssanctionsrequiredassessment.html","http://services.parliament.uk/bills/2016-17/benefitclaimantssanctionsrequiredassessment.html","1843","Benefit Claimants Sanctions (Required Assessment)","2016-2017","Mhairi Black","Benefit Claimants Sanctions (Required Assessment) Bill"
"http://data.parliament.uk/resources/519943","Government","2017-02-24","culturalpropertyarmedconflicts.html","http://services.parliament.uk/bills/2016-17/culturalpropertyarmedconflicts.html","1776","Cultural Property (Armed Conflicts)","2016-2017","Karen Bradley","Cultural Property (Armed Conflicts)  Bill [HL]"
"http://data.parliament.uk/resources/519943","Government","2017-02-24","culturalpropertyarmedconflicts.html","http://services.parliament.uk/bills/2016-17/culturalpropertyarmedconflicts.html","1776","Cultural Property (Armed Conflicts)","2016-2017","Lord Ashton of Hyde","Cultural Property (Armed Conflicts)  Bill [HL]"
"http://data.parliament.uk/resources/638150","Government","2017-02-24","commonwealthdevelopmentcorporation.html","http://services.parliament.uk/bills/2016-17/commonwealthdevelopmentcorporation.html","1922","Commonwealth Development Corporation","2016-2017","Lord Nash","Commonwealth Development Corporation Bill"
"http://data.parliament.uk/resources/638150","Government","2017-02-24","commonwealthdevelopmentcorporation.html","http://services.parliament.uk/bills/2016-17/commonwealthdevelopmentcorporation.html","1922","Commonwealth Development Corporation","2016-2017","Priti Patel","Commonwealth Development Corporation Bill"
"http://data.parliament.uk/resources/671934","Ten Minute Rule","2017-02-24","mutualguaranteesocieties.html","http://services.parliament.uk/bills/2016-17/mutualguaranteesocieties.html","1944","Mutual Guarantee Societies","2016-2017","Christina Rees","Mutual Guarantee Societies Bill"
"http://data.parliament.uk/resources/606551","Ten Minute Rule","2017-02-23","nationalhealthservicestaffreportingandregistration.html","http://services.parliament.uk/bills/2016-17/nationalhealthservicestaffreportingandregistration.html","1910","National Health Service Staff (Reporting and Registration)","2016-2017","Bill Wiggin","National Health Service Staff (Reporting and Registration) Bill"
"http://data.parliament.uk/resources/535338","Presentation","2017-02-22","parthenonsculpturesreturntogreece.html","http://services.parliament.uk/bills/2016-17/parthenonsculpturesreturntogreece.html","1879","Parthenon Sculptures (Return to Greece)","2016-2017","Mr Mark Williams","Parthenon Sculptures (Return to Greece) Bill"
"http://data.parliament.uk/resources/672811","Government","2017-02-22","localgovernmentfinance.html","http://services.parliament.uk/bills/2016-17/localgovernmentfinance.html","1946","Local Government Finance","2016-2017","Sajid Javid","Local Government Finance Bill"
"http://data.parliament.uk/resources/533088","Presentation","2017-02-21","useofpropertyprotection.html","http://services.parliament.uk/bills/2016-17/useofpropertyprotection.html","1868","Use of Property (Protection)","2016-2017","Michael Tomlinson","Use of Property (Protection) Bill"
"http://data.parliament.uk/resources/649296","Presentation","2017-02-21","withdrawalfromtheeuropeanunionarticle50.html","http://services.parliament.uk/bills/2016-17/withdrawalfromtheeuropeanunionarticle50.html","1933","Withdrawal from the European Union (Article 50)","2016-2017","Mr Peter Bone","Withdrawal from the European Union (Article 50) Bill"
"http://data.parliament.uk/resources/523727","Government","2017-02-03","wales.html","http://services.parliament.uk/bills/2016-17/wales.html","1800","Wales","2016-2017","Alun Cairns","Wales Bill"
"http://data.parliament.uk/resources/523727","Government","2017-02-03","wales.html","http://services.parliament.uk/bills/2016-17/wales.html","1800","Wales","2016-2017","Lord Bourne of Aberystwyth","Wales Bill"
"http://data.parliament.uk/resources/531365","Ballot","2017-02-03","sexualoffencespardonsetc.html","http://services.parliament.uk/bills/2016-17/sexualoffencespardonsetc.html","1836","Sexual Offences (Pardons Etc.)","2016-2017","John Nicolson","Sexual Offences (Pardons Etc.) Bill"
"http://data.parliament.uk/resources/452754","Government","2017-02-01","policingandcrime.html","http://services.parliament.uk/bills/2016-17/policingandcrime.html","1745","Policing and Crime","2015-2016","Amber Rudd","Policing and Crime Bill"
"http://data.parliament.uk/resources/452754","Government","2017-02-01","policingandcrime.html","http://services.parliament.uk/bills/2016-17/policingandcrime.html","1745","Policing and Crime","2016-2017","Baroness Williams of Trafford","Policing and Crime Bill"
