"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393346","Ten Minute Rule","2014-05-15","medicalinnovationno2.html","http://services.parliament.uk/bills/medicalinnovationno2.html","Medical Innovation (No. 2)","2013-2014","Michael Ellis","Medical Innovation (No. 2)"
"http://data.parliament.uk/resources/393347","Ten Minute Rule","2014-05-15","freedomofinformationprivatehealthcarecompanies.html","http://services.parliament.uk/bills/freedomofinformationprivatehealthcarecompanies.html","Freedom of Information (Private Healthcare Companies)","2013-2014","Grahame M. Morris","Freedom of Information (Private Healthcare Companies)"
"http://data.parliament.uk/resources/393349","Ten Minute Rule","2014-05-15","coronersandjusticeamendment.html","http://services.parliament.uk/bills/coronersandjusticeamendment.html","Coroners and Justice (Amendment)","2013-2014","Sir Paul Beresford","Coroners and Justice (Amendment)"
"http://data.parliament.uk/resources/393350","Government","2014-05-15","immigration.html","http://services.parliament.uk/bills/immigration.html","Immigration","2013-2014","Lord Taylor of Holbeach","Immigration"
"http://data.parliament.uk/resources/393350","Government","2014-05-15","immigration.html","http://services.parliament.uk/bills/immigration.html","Immigration","2013-2014","Theresa May","Immigration"
"http://data.parliament.uk/resources/393353","Ten Minute Rule","2014-05-15","regulationoftheprivaterentedsector.html","http://services.parliament.uk/bills/regulationoftheprivaterentedsector.html","Regulation of the Private Rented Sector","2013-2014","Jeremy Corbyn","Regulation of the Private Rented Sector"
"http://data.parliament.uk/resources/393354","Ten Minute Rule","2014-05-15","gibraltarmaritimeprotection.html","http://services.parliament.uk/bills/gibraltarmaritimeprotection.html","Gibraltar (Maritime Protection)","2013-2014","David Morris","Gibraltar (Maritime Protection)"
"http://data.parliament.uk/resources/393355","Ten Minute Rule","2014-05-15","descendantsofdeceasedadoptedpeopleaccesstoinformation.html","http://services.parliament.uk/bills/descendantsofdeceasedadoptedpeopleaccesstoinformation.html","Descendants of Deceased Adopted People (Access to Information)","2013-2014","Nick de Bois","Descendants of Deceased Adopted People (Access to Information)"
"http://data.parliament.uk/resources/393356","Presentation","2014-05-15","counsellorsandpsychotherapists.html","http://services.parliament.uk/bills/counsellorsandpsychotherapists.html","Counsellors and Psychotherapists (Regulation)","2013-2014","Geraint Davies","Counsellors and Psychotherapists (Regulation)"
"http://data.parliament.uk/resources/393357","Ten Minute Rule","2014-05-15","fundingforlocalauthorities.html","http://services.parliament.uk/bills/fundingforlocalauthorities.html","Funding for Local Authorities","2013-2014","Ms Gisela Stuart","Funding for Local Authorities"
"http://data.parliament.uk/resources/393358","Ten Minute Rule","2014-05-15","licensedhackneycarriagesandprivatehirevehiclesclosedcircuittelevision.html","http://services.parliament.uk/bills/licensedhackneycarriagesandprivatehirevehiclesclosedcircuittelevision.html","Licensed Hackney Carriages and Private Hire Vehicles (Closed Circuit Television)","2013-2014","Richard Fuller","Licensed Hackney Carriages and Private Hire Vehicles (Closed Circuit Television)"
"http://data.parliament.uk/resources/393359","Ten Minute Rule","2014-05-15","hatecrimepeoplewithlearningdifficultiesandlearningdisabilities.html","http://services.parliament.uk/bills/hatecrimepeoplewithlearningdifficultiesandlearningdisabilities.html","Hate Crime (People with Learning Difficulties and Learning Disabilities)","2013-2014","Ian Mearns","Hate Crime (People with Learning Difficulties and Learning Disabilities)"
"http://data.parliament.uk/resources/393360","Ten Minute Rule","2014-05-15","benefitclaimantsautomatictransfertoalternativebenefits.html","http://services.parliament.uk/bills/benefitclaimantsautomatictransfertoalternativebenefits.html","Benefit Claimants (Automatic Transfer to Alternative Benefits)","2013-2014","John Hemming","Benefit Claimants (Automatic Transfer to Alternative Benefits)"
"http://data.parliament.uk/resources/393361","Ten Minute Rule","2014-05-15","unsolicitedtelephonecallscallerlineidentification.html","http://services.parliament.uk/bills/unsolicitedtelephonecallscallerlineidentification.html","Unsolicited Telephone Calls (Caller Line Identification)","2013-2014","Alun Cairns","Unsolicited Telephone Calls (Caller Line Identification)"
"http://data.parliament.uk/resources/393362","Ten Minute Rule","2014-05-15","permitteddevelopmentbasements.html","http://services.parliament.uk/bills/permitteddevelopmentbasements.html","Permitted Development (Basements)","2013-2014","Ms Karen Buck","Permitted Development (Basements)"
"http://data.parliament.uk/resources/393363","Ten Minute Rule","2014-05-15","publicinterestdisclosureamendment.html","http://services.parliament.uk/bills/publicinterestdisclosureamendment.html","Public Interest Disclosure (Amendment)","2013-2014","Mr David Davis","Public Interest Disclosure (Amendment)"
"http://data.parliament.uk/resources/393364","Ten Minute Rule","2014-05-15","regulationofrefractiveeyesurgery.html","http://services.parliament.uk/bills/regulationofrefractiveeyesurgery.html","Regulation of Refractive Eye Surgery","2013-2014","John McDonnell","Regulation of Refractive Eye Surgery"
