"uri","constituency type","ended date","gss code","label","os name","started date"
"http://data.parliament.uk/resources/146019","Borough","1983-06-09",,"Sheffield, Brightside",,"1974-02-28"
"http://data.parliament.uk/resources/146020","Borough","1997-05-01",,"Sheffield, Brightside",,"1983-06-09"
"http://data.parliament.uk/resources/146021","Borough","2010-05-06",,"Sheffield, Brightside","Sheffield, Brightside Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147184","Borough",,"E14000921","Sheffield, Brightside and Hillsborough","Sheffield, Brightside and Hillsborough Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146022",,"1950-02-23",,"Sheffield, Eccleshall",,"1918-12-14"
"http://data.parliament.uk/resources/146023",,"1950-02-23",,"Sheffield, Hallam",,"1918-12-14"
"http://data.parliament.uk/resources/146024",,"1974-02-28",,"Sheffield, Hallam",,"1950-02-23"
"http://data.parliament.uk/resources/146025","Borough","1983-06-09",,"Sheffield, Hallam",,"1974-02-28"
"http://data.parliament.uk/resources/146026","County","1997-05-01",,"Sheffield, Hallam",,"1983-06-09"
"http://data.parliament.uk/resources/146027","County","2010-05-06",,"Sheffield, Hallam","Sheffield, Hallam Co Const","1997-05-01"
"http://data.parliament.uk/resources/147185","County",,"E14000922","Sheffield, Hallam","Sheffield, Hallam Co Const","2010-05-06"
"http://data.parliament.uk/resources/146028",,"1974-02-28",,"Sheffield, Heeley",,"1950-02-23"
"http://data.parliament.uk/resources/146029","Borough","1983-06-09",,"Sheffield, Heeley",,"1974-02-28"
"http://data.parliament.uk/resources/146030","Borough","1997-05-01",,"Sheffield, Heeley",,"1983-06-09"
"http://data.parliament.uk/resources/146031","Borough","2010-05-06",,"Sheffield, Heeley","Sheffield, Heeley Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147186","Borough",,"E14000923","Sheffield, Heeley","Sheffield, Heeley Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146032",,"1950-02-23",,"Sheffield, Hillsborough",,"1918-12-14"
"http://data.parliament.uk/resources/146033",,"1974-02-28",,"Sheffield, Hillsborough",,"1950-02-23"
"http://data.parliament.uk/resources/146034","Borough","1983-06-09",,"Sheffield, Hillsborough",,"1974-02-28"
"http://data.parliament.uk/resources/146035","County","1997-05-01",,"Sheffield, Hillsborough",,"1983-06-09"
"http://data.parliament.uk/resources/146036","County","2010-05-06",,"Sheffield, Hillsborough","Sheffield, Hillsborough Co Const","1997-05-01"
"http://data.parliament.uk/resources/146037",,"1955-05-26",,"Sheffield, Neepsend",,"1950-02-23"
"http://data.parliament.uk/resources/146038",,"1950-02-23",,"Sheffield, Park",,"1918-12-14"
