"","observation_path","chamber_path","constituency_path","observation_number","chamber_number","chamber_name","constituency_number","constituency_name","country_name","province_name"
"1","/chamber-1/constituency-1","/chamber-1","/chamber-1/constituency-1","1",1,"House of Commons","1","Aberavon","Wales",NA
"2","/chamber-1/constituency-2","/chamber-1","/chamber-1/constituency-2","2",1,"House of Commons","2","Aberconwy","Wales",NA
"3","/chamber-1/constituency-3","/chamber-1","/chamber-1/constituency-3","3",1,"House of Commons","3","Aberdare",NA,NA
"4","/chamber-1/constituency-4","/chamber-1","/chamber-1/constituency-4","4",1,"House of Commons","4","Aberdeen Central",NA,NA
"5","/chamber-1/constituency-5","/chamber-1","/chamber-1/constituency-5","5",1,"House of Commons","5","Aberdeen North","Scotland",NA
"6","/chamber-1/constituency-6","/chamber-1","/chamber-1/constituency-6","6",1,"House of Commons","6","Aberdeen South","Scotland",NA
"7","/chamber-1/constituency-7","/chamber-1","/chamber-1/constituency-7","7",1,"House of Commons","7","Aberdeenshire and Kincardineshire, Eastern",NA,NA
"8","/chamber-1/constituency-8","/chamber-1","/chamber-1/constituency-8","8",1,"House of Commons","8","Aberdeenshire and Kincardineshire, Kincardine and Western",NA,NA
"9","/chamber-1/constituency-9","/chamber-1","/chamber-1/constituency-9","9",1,"House of Commons","9","Abertillery",NA,NA
"10","/chamber-1/constituency-10","/chamber-1","/chamber-1/constituency-10","10",1,"House of Commons","10","Abingdon",NA,NA
"11","/chamber-1/constituency-11","/chamber-1","/chamber-1/constituency-11","11",1,"House of Commons","11","Accrington",NA,NA
"12","/chamber-1/constituency-12","/chamber-1","/chamber-1/constituency-12","12",1,"House of Commons","12","Acton",NA,NA
"13","/chamber-1/constituency-13","/chamber-1","/chamber-1/constituency-13","13",1,"House of Commons","13","Airdrie and Shotts","Scotland",NA
"14","/chamber-1/constituency-14","/chamber-1","/chamber-1/constituency-14","14",1,"House of Commons","14","Aldershot","England",NA
"15","/chamber-1/constituency-15","/chamber-1","/chamber-1/constituency-15","15",1,"House of Commons","15","Aldridge-Brownhills","England",NA
"16","/chamber-1/constituency-16","/chamber-1","/chamber-1/constituency-16","16",1,"House of Commons","16","Altrincham",NA,NA
"17","/chamber-1/constituency-17","/chamber-1","/chamber-1/constituency-17","17",1,"House of Commons","17","Altrincham and Sale",NA,NA
"18","/chamber-1/constituency-18","/chamber-1","/chamber-1/constituency-18","18",1,"House of Commons","18","Altrincham and Sale West","England",NA
"19","/chamber-1/constituency-19","/chamber-1","/chamber-1/constituency-19","19",1,"House of Commons","19","Alyn and Deeside","Wales",NA
"20","/chamber-1/constituency-20","/chamber-1","/chamber-1/constituency-20","20",1,"House of Commons","20","Amber Valley","England",NA
"21","/chamber-1/constituency-21","/chamber-1","/chamber-1/constituency-21","21",1,"House of Commons","21","Anglesey",NA,NA
"22","/chamber-1/constituency-22","/chamber-1","/chamber-1/constituency-22","22",1,"House of Commons","22","Angus","Scotland",NA
"23","/chamber-1/constituency-23","/chamber-1","/chamber-1/constituency-23","23",1,"House of Commons","23","Angus East",NA,NA
"24","/chamber-1/constituency-24","/chamber-1","/chamber-1/constituency-24","24",1,"House of Commons","24","Antrim",NA,NA
"25","/chamber-1/constituency-25","/chamber-1","/chamber-1/constituency-25","25",1,"House of Commons","25","Arfon","Wales",NA
"26","/chamber-1/constituency-26","/chamber-1","/chamber-1/constituency-26","26",1,"House of Commons","26","Arundel",NA,NA
"27","/chamber-1/constituency-27","/chamber-1","/chamber-1/constituency-27","27",1,"House of Commons","27","Arundel and Shoreham",NA,NA
"28","/chamber-1/constituency-28","/chamber-1","/chamber-1/constituency-28","28",1,"House of Commons","28","Arundel and South Downs","England",NA
"29","/chamber-1/constituency-29","/chamber-1","/chamber-1/constituency-29","29",1,"House of Commons","29","Ashfield","England",NA
"30","/chamber-1/constituency-30","/chamber-1","/chamber-1/constituency-30","30",1,"House of Commons","30","Ashford","England",NA
"31","/chamber-1/constituency-31","/chamber-1","/chamber-1/constituency-31","31",1,"House of Commons","31","Ashton-under-Lyne","England",NA
"32","/chamber-1/constituency-32","/chamber-1","/chamber-1/constituency-32","32",1,"House of Commons","32","Aylesbury","England",NA
"33","/chamber-1/constituency-33","/chamber-1","/chamber-1/constituency-33","33",1,"House of Commons","33","Ayr",NA,NA
"34","/chamber-1/constituency-34","/chamber-1","/chamber-1/constituency-34","34",1,"House of Commons","34","Ayr District of Burghs",NA,NA
"35","/chamber-1/constituency-35","/chamber-1","/chamber-1/constituency-35","35",1,"House of Commons","35","Ayr, Carrick and Cumnock","Scotland",NA
"36","/chamber-1/constituency-36","/chamber-1","/chamber-1/constituency-36","36",1,"House of Commons","36","Ayrshire and Bute, Bute and Northern",NA,NA
"37","/chamber-1/constituency-37","/chamber-1","/chamber-1/constituency-37","37",1,"House of Commons","37","Balham and Tooting",NA,NA
"38","/chamber-1/constituency-38","/chamber-1","/chamber-1/constituency-38","38",1,"House of Commons","38","Banbury","England",NA
"39","/chamber-1/constituency-39","/chamber-1","/chamber-1/constituency-39","39",1,"House of Commons","39","Banff",NA,NA
"40","/chamber-1/constituency-40","/chamber-1","/chamber-1/constituency-40","40",1,"House of Commons","40","Barking","England",NA
"41","/chamber-1/constituency-41","/chamber-1","/chamber-1/constituency-41","41",1,"House of Commons","41","Barkston Ash",NA,NA
"42","/chamber-1/constituency-42","/chamber-1","/chamber-1/constituency-42","42",1,"House of Commons","42","Barnard Castle",NA,NA
"43","/chamber-1/constituency-43","/chamber-1","/chamber-1/constituency-43","43",1,"House of Commons","43","Barnet",NA,NA
"44","/chamber-1/constituency-44","/chamber-1","/chamber-1/constituency-44","44",1,"House of Commons","44","Barnsley",NA,NA
"45","/chamber-1/constituency-45","/chamber-1","/chamber-1/constituency-45","45",1,"House of Commons","45","Barnsley Central","England",NA
"46","/chamber-1/constituency-46","/chamber-1","/chamber-1/constituency-46","46",1,"House of Commons","46","Barnsley East","England",NA
"47","/chamber-1/constituency-47","/chamber-1","/chamber-1/constituency-47","47",1,"House of Commons","47","Barnsley East and Mexborough",NA,NA
"48","/chamber-1/constituency-48","/chamber-1","/chamber-1/constituency-48","48",1,"House of Commons","48","Barnsley West and Penistone",NA,NA
"49","/chamber-1/constituency-49","/chamber-1","/chamber-1/constituency-49","49",1,"House of Commons","49","Barnstaple",NA,NA
"50","/chamber-1/constituency-50","/chamber-1","/chamber-1/constituency-50","50",1,"House of Commons","50","Barons Court",NA,NA
"51","/chamber-1/constituency-51","/chamber-1","/chamber-1/constituency-51","51",1,"House of Commons","51","Barrow and Furness","England",NA
"52","/chamber-1/constituency-52","/chamber-1","/chamber-1/constituency-52","52",1,"House of Commons","52","Barrow-in-Furness",NA,NA
"53","/chamber-1/constituency-53","/chamber-1","/chamber-1/constituency-53","53",1,"House of Commons","53","Barry",NA,NA
"54","/chamber-1/constituency-54","/chamber-1","/chamber-1/constituency-54","54",1,"House of Commons","54","Basildon",NA,NA
"55","/chamber-1/constituency-55","/chamber-1","/chamber-1/constituency-55","55",1,"House of Commons","55","Basildon and Billericay","England",NA
"56","/chamber-1/constituency-56","/chamber-1","/chamber-1/constituency-56","56",1,"House of Commons","56","Basingstoke","England",NA
"57","/chamber-1/constituency-57","/chamber-1","/chamber-1/constituency-57","57",1,"House of Commons","57","Bassetlaw","England",NA
"58","/chamber-1/constituency-58","/chamber-1","/chamber-1/constituency-58","58",1,"House of Commons","58","Bath","England",NA
"59","/chamber-1/constituency-59","/chamber-1","/chamber-1/constituency-59","59",1,"House of Commons","59","Batley and Morley",NA,NA
