"","observation_path","chamber_path","member_path","constituency_path","observation_number","chamber_number","member_number","full_name","first_name","last_name","laying_minister_name","chamber","constituency","title","hansard_title","start_date","end_date","end_note","unpaid","joint"
"1","/chamber-1/member-7/observation-1","/chamber-1","/chamber-1/member-7","/chamber-1/constituency-1107","1",1,7,"Nigel Adams","Nigel","Adams","Nigel Adams","Commons","Selby and Ainsty","Minister of State (Department for Digital, Culture, Media and Sport)","Minister of State","2019-07-24",NA,NA,"False","False"
"2","/chamber-1/member-40/observation-2","/chamber-1","/chamber-1/member-40","/chamber-1/constituency-1025","2",1,40,"Stuart Andrew","Stuart","Andrew",NA,"Commons","Pudsey","Vice-Chamberlain (HM Household)",NA,"2019-07-28",NA,NA,"False","False"
"3","/chamber-1/member-46/observation-3","/chamber-1","/chamber-1/member-46","/chamber-1/constituency-252","3",1,46,"Edward Argar","Edward","Argar","Edward Argar","Commons","Charnwood","Minister of State (Department of Health and Social Care)","Minister of State (Department of Health and Social Care)","2019-09-10",NA,NA,"False","False"
"4","/chamber-1/member-63/observation-4","/chamber-1","/chamber-1/member-63","/chamber-1/constituency-767","4",1,63,"Victoria Atkins","Victoria","Atkins","Victoria Atkins","Commons","Louth and Horncastle","Minister for Women","Minister for Women","2018-01-16",NA,NA,"False","False"
"5","/chamber-1/member-63/observation-5","/chamber-1","/chamber-1/member-63","/chamber-1/constituency-767","5",1,63,"Victoria Atkins","Victoria","Atkins","Victoria Atkins","Commons","Louth and Horncastle","Parliamentary Under-Secretary (Home Office)","The Parliamentary Under-Secretary of State for the Home Department","2017-11-09",NA,NA,"False","False"
"6","/chamber-1/member-71/observation-6","/chamber-1","/chamber-1/member-71","/chamber-1/constituency-1092","6",1,71,"Mrs Kemi Badenoch","Mrs Kemi","Badenoch","Mrs Kemi Badenoch","Commons","Saffron Walden","Parliamentary Under-Secretary (Department for Education)","The Parliamentary Under-Secretary of State for Education","2019-07-27",NA,NA,"False","False"
"7","/chamber-1/member-88/observation-7","/chamber-1","/chamber-1/member-88","/chamber-1/constituency-895","7",1,88,"Stephen Barclay","Stephen","Barclay","Secretary Stephen Barclay","Commons","North East Cambridgeshire","Secretary of State for Exiting the European Union","The Secretary of State for Exiting the European Union","2018-11-16",NA,NA,"False","False"
"8","/chamber-1/member-136/observation-8","/chamber-1","/chamber-1/member-136","/chamber-1/constituency-1066","8",1,136,"Jake Berry ","Jake","Berry ",NA,"Commons","Rossendale and Darwen","Minister of State (Cabinet Office) (jointly with the Ministry of Housing, Communities and Local Government)","Minister of State (Cabinet Office) (jointly with the Ministry of Housing, Communities and Local Government)","2019-07-25",NA,NA,"False","False"
"9","/chamber-1/member-249/observation-9","/chamber-1","/chamber-1/member-249","/chamber-1/constituency-1175","9",1,249,"Robert Buckland","Robert","Buckland","Secretary Robert Buckland","Commons","South Swindon","Lord Chancellor and Secretary of State for Justice","The Lord Chancellor and Secretary of State for Justice ","2019-07-24",NA,NA,"False","False"
"10","/chamber-1/member-261/observation-10","/chamber-1","/chamber-1/member-261","/chamber-1/constituency-150","10",1,261,"Conor Burns","Conor","Burns","Conor Burns","Commons","Bournemouth West","Minister of State (Department for International Trade)","The Minister of State, Department for International Trade","2019-07-25",NA,NA,"False","False"
"11","/chamber-1/member-283/observation-11","/chamber-1","/chamber-1/member-283","/chamber-1/constituency-1327","11",1,283,"Alun Cairns","Alun","Cairns","Secretary Alun Cairns","Commons","Vale of Glamorgan","Secretary of State for Wales","The Secretary of State for Wales","2016-03-19",NA,NA,"False","False"
"12","/chamber-1/member-347/observation-12","/chamber-1","/chamber-1/member-347","/chamber-1/constituency-206","12",1,347,"Jo Churchill","Jo","Churchill","Jo Churchill","Commons","Bury St Edmunds","Parliamentary Under-Secretary (Department of Health and Social Care)","The Parliamentary Under-Secretary for Health and Social Care","2019-07-26",NA,NA,"False","False"
"13","/chamber-1/member-352/observation-13","/chamber-1","/chamber-1/member-352","/chamber-1/constituency-537","13",1,352,"Colin Clark","Colin","Clark","Colin Clark","Commons","Gordon","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2019-07-27",NA,NA,"False","False"
"14","/chamber-1/member-352/observation-14","/chamber-1","/chamber-1/member-352","/chamber-1/constituency-537","14",1,352,"Colin Clark","Colin","Clark","Colin Clark","Commons","Gordon","Parliamentary Under-Secretary (Scotland Office)","The Parliamentary Under-Secretary of State for Scotland","2019-07-27",NA,NA,"False","False"
"15","/chamber-1/member-365/observation-15","/chamber-1","/chamber-1/member-365","/chamber-1/constituency-820","15",1,365,"Mr Simon Clarke","Mr Simon","Clarke","Mr Simon Clarke","Commons","Middlesbrough South and East Cleveland","Exchequer Secretary (HM Treasury)","The Exchequer Secretary","2019-07-27",NA,NA,"False","False"
"16","/chamber-1/member-373/observation-16","/chamber-1","/chamber-1/member-373","/chamber-1/constituency-159","16",1,373,"James Cleverly","James","Cleverly","James Cleverly","Commons","Braintree","Minister without Portfolio (Cabinet Office)","Minister without Portfolio ","2019-07-24",NA,NA,"False","False"
"17","/chamber-1/member-384/observation-17","/chamber-1","/chamber-1/member-384","/chamber-1/constituency-1267","17",1,384,"Dr Thérèse Coffey","Dr Thérèse","Coffey","Secretary Thérèse Coffey","Commons","Suffolk Coastal","Secretary of State for Work and Pensions","The Secretary of State for Work and Pensions","2019-09-08",NA,NA,"False","False"
"18","/chamber-1/member-423/observation-18","/chamber-1","/chamber-1/member-423","/chamber-1/constituency-1306","18",1,423,"Mr Geoffrey Cox","Mr Geoffrey","Cox","The Attorney General","Commons","Torridge and West Devon","Attorney General","The Attorney-General","2018-07-09",NA,NA,"False","False"
"19","/chamber-1/member-483/observation-19","/chamber-1","/chamber-1/member-483","/chamber-1/constituency-420","19",1,483,"Mims Davies","Mims","Davies","Mims Davies","Commons","Eastleigh","Parliamentary Under-Secretary (Department for Work and Pensions)","The Parliamentary Under-Secretary of State for Work and Pensions","2019-07-25",NA,NA,"False","False"
"20","/chamber-1/member-517/observation-20","/chamber-1","/chamber-1/member-517","/chamber-1/constituency-538","20",1,517,"Caroline Dinenage","Caroline","Dinenage","Caroline Dinenage","Commons","Gosport","Minister of State (Department of Health and Social Care)","Minister of State (Department of Health and Social Care)","2018-01-09",NA,NA,"False","False"
"21","/chamber-1/member-524/observation-21","/chamber-1","/chamber-1/member-524","/chamber-1/constituency-14","21",1,524,"Leo Docherty","Leo","Docherty",NA,"Commons","Aldershot","Assistant Whip","Assistant Whip","2019-07-29",NA,NA,"False","False"
"22","/chamber-1/member-534/observation-22","/chamber-1","/chamber-1/member-534","/chamber-1/constituency-271","22",1,534,"Michelle Donelan","Michelle","Donelan","Michelle Donelan ","Commons","Chippenham","Parliamentary Under-Secretary (Department for Education)","The Parliamentary Under-Secretary of State for Education","2019-09-04",NA,NA,"True","False"
"23","/chamber-1/member-534/observation-23","/chamber-1","/chamber-1/member-534","/chamber-1/constituency-271","23",1,534,"Michelle Donelan","Michelle","Donelan","Michelle Donelan ","Commons","Chippenham","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2019-07-29",NA,NA,"False","False"
"24","/chamber-1/member-539/observation-24","/chamber-1","/chamber-1/member-539","/chamber-1/constituency-808","24",1,539,"Ms Nadine Dorries","Ms Nadine","Dorries","Ms Nadine Dorries","Commons","Mid Bedfordshire","Parliamentary Under-Secretary (Department of Health and Social Care)","The Parliamentary Under-Secretary for Health and Social Care","2019-07-27",NA,NA,"False","False"
"25","/chamber-1/member-548/observation-25","/chamber-1","/chamber-1/member-548","/chamber-1/constituency-601","25",1,548,"Oliver Dowden","Oliver","Dowden",NA,"Commons","Hertsmere","Minister of State (Cabinet Office)","Minister of State (Cabinet Office)","2019-07-24",NA,NA,"False","False"
"26","/chamber-1/member-548/observation-26","/chamber-1","/chamber-1/member-548","/chamber-1/constituency-601","26",1,548,"Oliver Dowden","Oliver","Dowden",NA,"Commons","Hertsmere","Paymaster General (HM Treasury)",NA,"2019-07-24",NA,NA,"False","False"
"27","/chamber-1/member-558/observation-27","/chamber-1","/chamber-1/member-558","/chamber-1/constituency-1057","27",1,558,"James Duddridge","James","Duddridge","James Duddridge","Commons","Rochford and Southend East","Parliamentary Under-Secretary (Department for Exiting the European Union)","The Parliamentary Under-Secretary of State for Exiting the European Union","2019-07-27",NA,NA,"False","False"
"28","/chamber-1/member-593/observation-28","/chamber-1","/chamber-1/member-593","/chamber-1/constituency-933","28",1,593,"Michael Ellis","Michael","Ellis","The Solicitor General","Commons","Northampton North","Solicitor General (Attorney General's Office)","The Solicitor-General","2019-07-26",NA,NA,"False","False"
"29","/chamber-1/member-610/observation-29","/chamber-1","/chamber-1/member-610","/chamber-1/constituency-220","29",1,610,"George Eustice","George","Eustice","George Eustice","Commons","Camborne and Redruth","Minister of State (Department for Environment, Food and Rural Affairs)","The Minister of State, Department for Environment, Food and Rural Affairs","2019-07-25",NA,NA,"False","False"
"30","/chamber-1/member-678/observation-30","/chamber-1","/chamber-1/member-678","/chamber-1/constituency-1303","30",1,678,"Kevin Foster","Kevin","Foster","Kevin Foster","Commons","Torbay","Assistant Whip","Assistant Whip","2019-04-04",NA,NA,"False","False"
"31","/chamber-1/member-678/observation-31","/chamber-1","/chamber-1/member-678","/chamber-1/constituency-1303","31",1,678,"Kevin Foster","Kevin","Foster","Kevin Foster","Commons","Torbay","Parliamentary Secretary (Cabinet Office)","The Parliamentary Secretary, Cabinet Office","2019-04-04",NA,NA,"True","False"
"32","/chamber-1/member-678/observation-32","/chamber-1","/chamber-1/member-678","/chamber-1/constituency-1303","32",1,678,"Kevin Foster","Kevin","Foster","Kevin Foster","Commons","Torbay","Parliamentary Under-Secretary (Wales Office)","The Parliamentary Under-Secretary of State for Wales","2019-04-04",NA,NA,"True","False"
"33","/chamber-1/member-697/observation-33","/chamber-1","/chamber-1/member-697","/chamber-1/constituency-1150","33",1,697,"Lucy Frazer","Lucy","Frazer","Lucy Frazer","Commons","South East Cambridgeshire","Minister of State (Ministry of Justice)","The Minister of State, Ministry of Justice","2019-07-25",NA,NA,"False","False"
"34","/chamber-1/member-698/observation-34","/chamber-1","/chamber-1/member-698","/chamber-1/constituency-812","34",1,698,"George Freeman","George","Freeman","George Freeman","Commons","Mid Norfolk","Minister of State (Department for Transport)","Minister of State (Department for Transport)","2019-07-26",NA,NA,"False","False"
"35","/chamber-1/member-701/observation-35","/chamber-1","/chamber-1/member-701","/chamber-1/constituency-478","35",1,701,"Mike Freer","Mike","Freer",NA,"Commons","Finchley and Golders Green","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2018-07-26",NA,NA,"False","False"
"36","/chamber-1/member-736/observation-36","/chamber-1","/chamber-1/member-736","/chamber-1/constituency-1356","36",1,736,"Ms Nusrat Ghani","Ms Nusrat","Ghani","Ms Nusrat Ghani","Commons","Wealden","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2019-07-11",NA,NA,"False","False"
"37","/chamber-1/member-736/observation-37","/chamber-1","/chamber-1/member-736","/chamber-1/constituency-1356","37",1,736,"Ms Nusrat Ghani","Ms Nusrat","Ghani","Ms Nusrat Ghani","Commons","Wealden","Parliamentary Under-Secretary (Department for Transport)","Parliamentary Under-Secretary (Department for Transport)","2018-01-09",NA,NA,"False","False"
"38","/chamber-1/member-737/observation-38","/chamber-1","/chamber-1/member-737","/chamber-1/constituency-135","38",1,737,"Nick Gibb","Nick","Gibb","Nick Gibb","Commons","Bognor Regis and Littlehampton","Minister of State (Education)","Minister of State (Education)","2014-07-15",NA,NA,"False","False"
"39","/chamber-1/member-754/observation-39","/chamber-1","/chamber-1/member-754","/chamber-1/constituency-1099","39",1,754,"John Glen","John","Glen","John Glen","Commons","Salisbury","Minister of State (Treasury) (City)","Minister of State (Treasury) (City)","2018-01-09",NA,NA,"False","False"
"40","/chamber-1/member-754/observation-40","/chamber-1","/chamber-1/member-754","/chamber-1/constituency-1099","40",1,754,"John Glen","John","Glen","John Glen","Commons","Salisbury","Economic Secretary (HM Treasury)","The Economic Secretary to the Treasury","2018-01-09",NA,NA,"False","False"
"41","/chamber-1/member-763/observation-41","/chamber-1","/chamber-1/member-763","/chamber-1/constituency-1051","41",1,763,"Zac Goldsmith","Zac","Goldsmith","Zac Goldsmith","Commons","Richmond Park","Minister of State (Department for Environment, Food and Rural Affairs)","The Minister of State, Department for Environment, Food and Rural Affairs","2019-09-10",NA,NA,"False","False"
"42","/chamber-1/member-763/observation-42","/chamber-1","/chamber-1/member-763","/chamber-1/constituency-1051","42",1,763,"Zac Goldsmith","Zac","Goldsmith","Zac Goldsmith","Commons","Richmond Park","Minister of State (Department for International Development)","The Minister of State, Department for International Development","2019-09-10",NA,NA,"False","False"
"43","/chamber-1/member-779/observation-43","/chamber-1","/chamber-1/member-779","/chamber-1/constituency-1272","43",1,779,"Michael Gove","Michael","Gove","Secretary Michael Gove","Commons","Surrey Heath","Chancellor of the Duchy of Lancaster","Chancellor of the Duchy of Lancaster","2019-07-24",NA,NA,"False","False"
"44","/chamber-1/member-835/observation-44","/chamber-1","/chamber-1/member-835","/chamber-1/constituency-1296","44",1,835,"Luke Hall","Luke","Hall","Luke Hall","Commons","Thornbury and Yate","Parliamentary Under-Secretary (Housing, Communities and Local Government)","Parliamentary Under-Secretary (Housing, Communities and Local Government)","2019-07-27",NA,NA,"False","False"
"45","/chamber-1/member-850/observation-45","/chamber-1","/chamber-1/member-850","/chamber-1/constituency-1394","45",1,850,"Matt Hancock","Matt","Hancock","Secretary Matt Hancock","Commons","West Suffolk","Secretary of State for Health and Social Care","Secretary of State for Health and Social Care","2018-07-09",NA,NA,"False","False"
"46","/chamber-1/member-868/observation-46","/chamber-1","/chamber-1/member-868","/chamber-1/constituency-242","46",1,868,"Rebecca Harris","Rebecca","Harris",NA,"Commons","Castle Point","Lord Commissioner (HM Treasury) (Whip)","The Lord Commissioner of Her Majesty's Treasury","2018-01-09",NA,NA,"False","False"
"47","/chamber-1/member-873/observation-47","/chamber-1","/chamber-1/member-873","/chamber-1/constituency-238","47",1,873,"Simon Hart","Simon","Hart","Simon Hart","Commons","Carmarthen West and South Pembrokeshire","Parliamentary Secretary (Cabinet Office)","The Parliamentary Secretary, Cabinet Office","2019-07-27",NA,NA,"False","False"
"48","/chamber-1/member-902/observation-48","/chamber-1","/chamber-1/member-902","/chamber-1/constituency-345","48",1,902,"Chris Heaton-Harris","Chris","Heaton-Harris","Chris Heaton-Harris","Commons","Daventry","Minister of State (Department for Transport)","Minister of State (Department for Transport)","2019-07-25",NA,NA,"False","False"
"49","/chamber-1/member-990/observation-49","/chamber-1","/chamber-1/member-990","/chamber-1/constituency-817","49",1,990,"Nigel Huddleston","Nigel","Huddleston",NA,"Commons","Mid Worcestershire","Assistant Whip","Assistant Whip","2019-07-29",NA,NA,"False","False"
"50","/chamber-1/member-1013/observation-50","/chamber-1","/chamber-1/member-1013","/chamber-1/constituency-1082","50",1,1013,"Mr Nick Hurd","Mr Nick","Hurd","Mr Nick Hurd","Commons","Ruislip, Northwood and Pinner","Minister of State (Northern Ireland Office)","The Minister of State, Northern Ireland Office","2019-07-25",NA,NA,"False","False"
"51","/chamber-1/member-1025/observation-51","/chamber-1","/chamber-1/member-1025","/chamber-1/constituency-376","51",1,1025,"Mr Alister Jack","Mr Alister","Jack","Secretary Alister Jack","Commons","Dumfries and Galloway","Secretary of State for Scotland","The Secretary of State for Scotland","2019-07-24",NA,NA,"False","False"
"52","/chamber-1/member-1040/observation-52","/chamber-1","/chamber-1/member-1040","/chamber-1/constituency-193","52",1,1040,"Sajid Javid","Sajid","Javid","Chancellor of the Exchequer","Commons","Bromsgrove","Chancellor of the Exchequer","The Chancellor of the Exchequer","2019-07-24",NA,NA,"False","False"
"53","/chamber-1/member-1048/observation-53","/chamber-1","/chamber-1/member-1048","/chamber-1/constituency-864","53",1,1048,"Robert Jenrick","Robert","Jenrick","Secretary Robert Jenrick","Commons","Newark","Secretary of State for Housing, Communities and Local Government","The Secretary of State for Housing, Communities and Local Government","2019-07-24",NA,NA,"False","False"
"54","/chamber-1/member-1052/observation-54","/chamber-1","/chamber-1/member-1052","/chamber-1/constituency-1325","54",1,1052,"Boris Johnson","Boris","Johnson","The Prime Minister","Commons","Uxbridge and South Ruislip","Prime Minister, First Lord of the Treasury and Minister for the Civil Service","The Prime Minister","2019-07-24",NA,NA,"False","False"
"55","/chamber-1/member-1077/observation-55","/chamber-1","/chamber-1/member-1077","/chamber-1/constituency-958","55",1,1077,"Mr Marcus Jones","Mr Marcus","Jones",NA,"Commons","Nuneaton","Assistant Whip","Assistant Whip","2019-07-29",NA,NA,"False","False"
"56","/chamber-1/member-1108/observation-56","/chamber-1","/chamber-1/member-1108","/chamber-1/constituency-1171","56",1,1108,"Seema Kennedy","Seema","Kennedy","Seema Kennedy","Commons","South Ribble","Parliamentary Under-Secretary (Home Office)","The Parliamentary Under-Secretary of State for the Home Department","2019-07-27",NA,NA,"False","False"
"57","/chamber-1/member-1148/observation-57","/chamber-1","/chamber-1/member-1148","/chamber-1/constituency-1211","57",1,1148,"Kwasi Kwarteng","Kwasi","Kwarteng","Kwasi Kwarteng","Commons","Spelthorne","Minister of State (Department for Business, Energy and Industrial Strategy)","The Minister of State, Department for Business, Energy and Industrial Strategy","2019-07-24",NA,NA,"False","False"
"58","/chamber-1/member-1163/observation-58","/chamber-1","/chamber-1/member-1163","/chamber-1/constituency-827","58",1,1163,"Mark Lancaster","Mark","Lancaster","Mark Lancaster","Commons","Milton Keynes North","Minister of State (Ministry of Defence)","The Minister of State, Ministry of Defence","2017-06-13",NA,NA,"False","False"
"59","/chamber-1/member-1182/observation-59","/chamber-1","/chamber-1/member-1182","/chamber-1/constituency-1167","59",1,1182,"Andrea Leadsom","Andrea","Leadsom","Secretary Andrea Leadsom","Commons","South Northamptonshire","Secretary of State for Business, Energy and Industrial Strategy ","The Secretary of State for Business, Energy and Industrial Strategy ","2019-07-24",NA,NA,"False","False"
"60","/chamber-1/member-1206/observation-60","/chamber-1","/chamber-1/member-1206","/chamber-1/constituency-546","60",1,1206,"Brandon Lewis","Brandon","Lewis","Brandon Lewis","Commons","Great Yarmouth","Minister of State (Home Office)","The Minister of State, Home Department","2019-07-24",NA,NA,"False","False"
"61","/chamber-1/member-1296/observation-61","/chamber-1","/chamber-1/member-1296","/chamber-1/constituency-915","61",1,1296,"Kit Malthouse","Kit","Malthouse","Kit Malthouse","Commons","North West Hampshire","Minister of State (Home Office)","The Minister of State, Home Department","2019-07-25",NA,NA,"False","False"
"62","/chamber-1/member-1340/observation-62","/chamber-1","/chamber-1/member-1340","/chamber-1/constituency-127","62",1,1340,"Paul Maynard","Paul","Maynard","Paul Maynard","Commons","Blackpool North and Cleveleys","Parliamentary Under-Secretary (Department for Transport)","Parliamentary Under-Secretary (Department for Transport)","2019-07-26",NA,NA,"False","False"
"63","/chamber-1/member-1409/observation-63","/chamber-1","/chamber-1/member-1409","/chamber-1/constituency-1279","63",1,1409,"Esther McVey","Esther","McVey","Esther McVey","Commons","Tatton","Minister of State (Housing, Communities and Local Government)","Minister of State (Housing, Communities and Local Government)","2019-07-24",NA,NA,"False","False"
"64","/chamber-1/member-1420/observation-64","/chamber-1","/chamber-1/member-1420","/chamber-1/constituency-1005","64",1,1420,"Johnny Mercer","Johnny","Mercer","Johnny Mercer","Commons","Plymouth, Moor View","Parliamentary Under-Secretary of State (jointly with the Ministry of Defence)","Parliamentary Under-Secretary of State (jointly with the Ministry of Defence)","2019-07-27",NA,NA,"False","True"
"65","/chamber-1/member-1440/observation-65","/chamber-1","/chamber-1/member-1440","/chamber-1/constituency-226","65",1,1440,"Amanda Milling","Amanda","Milling",NA,"Commons","Cannock Chase","Deputy Chief Whip",NA,"2019-07-25",NA,NA,"False","False"
"66","/chamber-1/member-1477/observation-66","/chamber-1","/chamber-1/member-1477","/chamber-1/constituency-765","66",1,1477,"Nicky Morgan","Nicky","Morgan","Secretary Nicky Morgan","Commons","Loughborough","Secretary of State for Digital, Culture, Media and Sport","The Secretary of State for Digital, Culture, Media and Sport","2019-07-24",NA,NA,"False","False"
"67","/chamber-1/member-1486/observation-67","/chamber-1","/chamber-1/member-1486","/chamber-1/constituency-559","67",1,1486,"James Morris","James","Morris",NA,"Commons","Halesowen and Rowley Regis","Assistant Whip","Assistant Whip","2019-07-29",NA,NA,"False","False"
"68","/chamber-1/member-1493/observation-68","/chamber-1","/chamber-1/member-1493","/chamber-1/constituency-15","68",1,1493,"Wendy Morton","Wendy","Morton","Wendy Morton","Commons","Aldridge-Brownhills","Parliamentary Under-Secretary (Ministry of Justice)","The Parliamentary Under-Secretary of State for Justice","2019-07-26",NA,NA,"False","False"
"69","/chamber-1/member-1518/observation-69","/chamber-1","/chamber-1/member-1518","/chamber-1/constituency-1187","69",1,1518,"Dr Andrew Murrison","Dr Andrew","Murrison","Dr Andrew Murrison","Commons","South West Wiltshire","Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development)","Minister of State (Foreign and Commonwealth Office) (Joint with the Department for International Development)","2019-05-09",NA,NA,"False","False"
