"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/11403","2013-05-16","Department for Business, Innovation and Skills","2013-05-14","To ask the Secretary of State for Business, Innovation and Skills, whether he has carried out a review of the research and development landscape in the UK for renewable energy technologies; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 156127","156127"
"http://data.parliament.uk/resources/11404","2013-05-16","Department for Business, Innovation and Skills","2013-05-14","To ask the Secretary of State for Business, Innovation and Skills, if he will publish a renewables industry vision statement to allow UK industry to present its ambitions over the next 40 years; if he will make an assessment of whether such a policy would (a) ensure the development of a vibrant UK renewable industry, (b) position the UK as a strong player in the global renewables market, (c) set out how the renewable industry can be an area of economic and strategic national strength and (d) form the start of a commitment for the renewables industry to work more collaboratively with Government in pursuit of a vibrant and globally respected UK industry; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 156128","156128"
"http://data.parliament.uk/resources/11405","2013-05-16","Department for Business, Innovation and Skills","2013-05-14","To ask the Secretary of State for Business, Innovation and Skills, what consideration he has given to the establishment of a renewables research and development advisory board; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 156129","156129"
"http://data.parliament.uk/resources/11406","2013-05-16","Department for Business, Innovation and Skills","2013-05-14","To ask the Secretary of State for Business, Innovation and Skills, if he will publish a long-term renewable energy strategy to 2050 including (a) the challenges that need to be met between now and 2050, (b) his vision for the future of renewable energy in the UK and strategy to ensure renewables have the best prospect of reaching their full potential, (c) the role of Government, regulators, industry, academia and other interested parties in delivering this strategy and (d) a clear framework against which decisions and priorities for policy and research to underpin the strategy will be taken; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 156130","156130"
"http://data.parliament.uk/resources/11407","2013-05-16","Department for Business, Innovation and Skills","2013-05-14","To ask the Secretary of State for Business, Innovation and Skills, if he will develop research and development roadmaps for renewable energy technologies to ensure the UK is able to make informed decisions on future renewable options beyond 2020; if he will ensure that these roadmaps analyse the advantages of (a) the realisation of industrial benefits, (b) the development and exploitation of intellectual property internationally and (c) being seen as a credible international partner; if he will include in any such roadmaps the research outcomes that would support implementation of future technology pathways and detailed illustrative timelines as examples of these pathways; and if he will make a statement.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2013/14 156131","156131"
"http://data.parliament.uk/resources/11478","2013-05-16","Department for Culture Media and Sport","2013-05-14","To ask the Secretary of State for Culture, Media and Sport, what support she plans to give to the 2014 to 2020 Europe for Citizens programme.","Biography information for Mark Reckless","Mark Reckless","House of Commons Tabled Parliamentary Question 2013/14 156075","156075"
"http://data.parliament.uk/resources/11549","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what steps he is taking to ensure hospitals are adequately prepared for any widespread outbreak of the novel coronavirus.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156084","156084"
"http://data.parliament.uk/resources/11550","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what discussions his Department has had with other European governments on containing an outbreak of the novel coronavirus.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156085","156085"
"http://data.parliament.uk/resources/11558","2013-05-16","Department for Communities and Local Government","2013-05-14","To ask the Secretary of State for Communities and Local Government, how many local authority properties have been purchased through the Government's Right-to-Buy scheme in Romford constituency in each of the last five years.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156119","156119"
"http://data.parliament.uk/resources/11559","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what steps he is taking to ensure young people are aware of the dangers of undereating.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156120","156120"
"http://data.parliament.uk/resources/11560","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, how many people have been admitted to hospitals within Barking, Havering and Redbridge University Hospitals NHS Trust for (a) anorexia nervosa and (b) bulimia in each of the last five years.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156121","156121"
"http://data.parliament.uk/resources/11561","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what assessment he has made of the prevalence of eating disorders among teenage men.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156122","156122"
"http://data.parliament.uk/resources/11562","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what steps he is taking to promote positive body image amongst young people.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156123","156123"
"http://data.parliament.uk/resources/11563","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what steps he is taking to improve the provision of mental health services in the London Borough of Havering.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156086","156086"
"http://data.parliament.uk/resources/11564","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what steps he is taking to improve the provision of sexual health services in the London Borough of Havering.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156087","156087"
"http://data.parliament.uk/resources/11565","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what steps he is taking to ensure that children are taught the importance of good aural hygiene.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156088","156088"
"http://data.parliament.uk/resources/11566","2013-05-16","Foreign and Commonwealth Office","2013-05-14","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent discussions he has had with the Cypriot government on urban development within the UK sovereign base areas since the Cypriot president's statement on 19 April 2013 concerning an agreement between Cyprus and the British sovereign base areas on urban development; and if he will make a statement.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156089","156089"
"http://data.parliament.uk/resources/11567","2013-05-16","Wales Office","2013-05-14","To ask the Secretary of State for Wales, what steps he is taking to encourage UK Trade and Investment to co-ordinate its trade promotion activities with the Welsh Government.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156090","156090"
"http://data.parliament.uk/resources/11568","2013-05-16","Department for Environment, Food and Rural Affairs","2013-05-14","To ask the Secretary of State for Environment, Food and Rural Affairs, what steps he is taking to encourage responsible dog ownership.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156091","156091"
"http://data.parliament.uk/resources/11569","2013-05-16","Foreign and Commonwealth Office","2013-05-14","To ask the Secretary of State for Foreign and Commonwealth Affairs, whether he has any plans to extend the UK's claim to a territorial water surrounding Gibraltar from three to 12 nautical miles.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156092","156092"
"http://data.parliament.uk/resources/11570","2013-05-16","Department for Environment, Food and Rural Affairs","2013-05-14","To ask the Secretary of State for Environment, Food and Rural Affairs, how many (a) Ministers and (b) officials from his Department have visited a British Overseas Territory in an official capacity since May 2010.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156093","156093"
"http://data.parliament.uk/resources/11571","2013-05-16","Department of Health","2013-05-14","To ask the Secretary of State for Health, what assessment he has made of the World Health Organisation's update of 12 May 2013 on the coronavirus infection.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156083","156083"
"http://data.parliament.uk/resources/11572","2013-05-16","Department for Transport","2013-05-14","To ask the Secretary of State for Transport, how many fatalities there have been as a result of road traffic accidents involving motorcyclists, cyclists and pedestrians in Romford constituency in the last five years.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156138","156138"
"http://data.parliament.uk/resources/11573","2013-05-16","Foreign and Commonwealth Office","2013-05-14","To ask the Secretary of State for Foreign and Commonwealth Affairs, what recent assessment he has made of the protocols on UK relations with the Republic of China (Taiwan) recognising that country's status.","Biography information for Andrew Rosindell","Andrew Rosindell","House of Commons Tabled Parliamentary Question 2013/14 156139","156139"
